PMID,Title,Year,Journal,Authors,PublicationTypes,Mesh,Dataset
26811350,Periodontal disease and risk of all cancers among male never smokers: an updated analysis of the Health Professionals Follow-up Study.,2016 May,Annals of oncology : official journal of the European Society for Medical Oncology,Michaud DS; Kelsey KT; Papathanasiou E; Genco CA; Giovannucci E,"Journal Article; Research Support, N.I.H., Extramural",Adult; Aged; Colorectal Neoplasms/*epidemiology/etiology/pathology; *Health Personnel; Humans; Male; Melanoma/*epidemiology/etiology/pathology; Middle Aged; Periodontal Diseases/complications/*epidemiology/pathology; Proportional Hazards Models; Prostatic Neoplasms/*epidemiology/etiology/pathology; Risk Factors; Smokers; Smoking/epidemiology,Clinical
33687555,Changes in clinical parameters following adjunctive local sodium hypochlorite gel in minimally invasive nonsurgical therapy (MINST) of periodontal pockets: a 6-month randomized controlled clinical trial.,2021 Sep,Clinical oral investigations,Iorio-Siciliano V; Ramaglia L; Isola G; Blasi A; Salvi GE; Sculean A,Journal Article; Randomized Controlled Trial,Dental Scaling; *Gingival Recession; Humans; Periodontal Pocket; *Periodontitis/drug therapy; Sodium Hypochlorite; Treatment Outcome,Clinical
25762359,Microbiologic Observations After Four Treatment Strategies Among Patients With Periodontitis Maintaining a High Standard of Oral Hygiene: Secondary Analysis of a Randomized Controlled Clinical Trial.,2015 Jul,Journal of periodontology,Preus HR; Dahlen G; Gjermo P; Baelum V,"Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","Adult; Aged; Anti-Infective Agents/therapeutic use; Anti-Infective Agents, Local/therapeutic use; Bacterial Load/drug effects; Chlorhexidine/therapeutic use; Chronic Periodontitis/*microbiology/therapy; Combined Modality Therapy; Dental Plaque Index; Dental Scaling/methods; Disinfection/methods; Double-Blind Method; Female; Follow-Up Studies; Humans; Male; Metronidazole/therapeutic use; Middle Aged; *Oral Hygiene; Periodontal Attachment Loss/microbiology/therapy; Periodontal Index; Periodontal Pocket/microbiology/therapy; Placebos; Root Planing/methods; Tannerella forsythia/drug effects/isolation & purification; Treatment Outcome",Clinical
28667678,"Effects of photodynamic therapy in periodontal treatment: A randomized, controlled clinical trial.",2017 Sep,Journal of clinical periodontology,Segarra-Vidal M; Guerra-Ojeda S; Valles LS; Lopez-Roldan A; Mauricio MD; Aldasoro M; Alpiste-Illueca F; Vila JM,Journal Article; Randomized Controlled Trial,Adult; Aged; Biomarkers/blood; Chronic Periodontitis/microbiology/*therapy; Dental Scaling; Female; Humans; Male; Middle Aged; Periodontal Index; Photochemotherapy/*methods; Root Planing; Single-Blind Method; Treatment Outcome,Clinical
23969907,Treatment of intrabony defects with anorganic bone matrix/p-15 or guided tissue regeneration in patients with aggressive periodontitis.,2013,Brazilian dental journal,Queiroz AC; Nobrega PB; Oliveira FS; Novaes AB Jr; Taba M Jr; Palioto DB; Grisi MF; Souza SL,"Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","Adolescent; Adult; Aggressive Periodontitis/*surgery; Alveolar Bone Loss/*surgery; Alveolar Process/diagnostic imaging; Bone Density/physiology; Bone Matrix/*transplantation; Collagen/*therapeutic use; Follow-Up Studies; Gingival Crevicular Fluid/chemistry; Guided Tissue Regeneration, Periodontal/*methods; Humans; Interleukin-1beta/analysis; Interleukin-6/analysis; Membranes, Artificial; Peptide Fragments/*therapeutic use; Periodontal Attachment Loss/surgery; Periodontal Pocket/surgery; Radiography; Subtraction Technique; Surgical Flaps/surgery; Treatment Outcome; Young Adult",Clinical
37814261,Repurposing Metformin for periodontal disease management as a form of oral-systemic preventive medicine.,2023 Oct 10,Journal of translational medicine,Neves VCM; Satie Okajima L; Elbahtety E; Joseph S; Daly J; Menon A; Fan D; Volkyte A; Mainas G; Fung K; Dhami P; Pelegrine AA; Sharpe P; Nibali L; Ide M,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","Animals; Humans; *Metformin/pharmacology/therapeutic use; Hypoglycemic Agents/pharmacology/therapeutic use; *Diabetes Mellitus, Type 2; Blood Glucose; *Periodontal Diseases/drug therapy; Disease Management",Clinical
25646170,Effect of a single session of antimicrobial photodynamic therapy using indocyanine green in the treatment of chronic periodontitis: a randomized controlled pilot trial.,2015 May,"Quintessence international (Berlin, Germany : 1985)",Srikanth K; Chandra RV; Reddy AA; Reddy BH; Reddy C; Naveen A,Journal Article; Randomized Controlled Trial,"Adult; Chronic Periodontitis/*drug therapy/microbiology; Coloring Agents/*therapeutic use; Dental Plaque Index; Dental Scaling; Double-Blind Method; Female; Gingival Crevicular Fluid/microbiology; Humans; Indocyanine Green/*therapeutic use; Lasers, Semiconductor/*therapeutic use; Male; Middle Aged; Periodontal Index; Photochemotherapy/*methods; Pilot Projects; Root Planing; Treatment Outcome",Clinical
31589587,Antimicrobial Photodynamic Therapy Using a Chloro-Aluminum Phthalocyanine Adjuvant to Nonsurgical Periodontal Treatment Does Not Improve Clinical Parameters in Patients with Chronic Periodontitis.,2019 Nov,"Photobiomodulation, photomedicine, and laser surgery",Sena IAA; Silva DNA; Azevedo MLDS; da Silva NT; Longo JPF; de Moraes M; de Aquino Martins ARL,Journal Article; Randomized Controlled Trial,Chronic Periodontitis/*therapy; Combined Modality Therapy; Dental Plaque Index; Dental Scaling; Double-Blind Method; Humans; *Indoles; Longitudinal Studies; *Organometallic Compounds; Periodontal Index; *Photochemotherapy; Prospective Studies; *Radiation-Sensitizing Agents; Root Planing,Clinical
21943132,The effect of a periodontal intervention on cardiovascular risk markers in Indigenous Australians with periodontal disease: the PerioCardio study.,2011 Sep 26,BMC public health,Skilton MR; Maple-Brown LJ; Kapellas K; Celermajer DS; Bartold M; Brown A; O'Dea K; Slade GD; Jamieson LM,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",Adult; Biomarkers/analysis; Cardiovascular Diseases/complications/epidemiology/*ethnology/*prevention & control; Dental Care; Female; Humans; Inflammation; Male; Northern Territory/epidemiology; Periodontal Diseases/complications/*therapy; Risk Factors; Surveys and Questionnaires,Clinical
39396137,Evaluation of a new mouthwash formulated with Chlorhexidine and Cymenol after a scaling and root planing treatment in grade I and II periodontal patients.,2024 Nov 1,"Medicina oral, patologia oral y cirugia bucal",Hermida-Cabrera P; Aguilera F; Vivancos-Cuadras F; Ferra-Domingo L; Torres-Lagares D; Gutierrez-Perez J; Pereira-Riveros T; Vinuesa T; Serrera-Figallo MA; Baus-Dominguez M,Equivalence Trial; Journal Article; Randomized Controlled Trial,Female; Humans; Male; Middle Aged; *Chlorhexidine/chemistry/therapeutic use; Combined Modality Therapy; Dental Plaque Index; Dental Scaling; Double-Blind Method; Follow-Up Studies; *Mouthwashes/chemistry/therapeutic use; Periodontal Attachment Loss; Periodontal Index; *Periodontitis/therapy; *Phenols/chemistry/therapeutic use; Root Planing; Treatment Outcome,Clinical
