PMID,Title,Year,Journal,Authors,PublicationTypes,Mesh,Dataset
26932733,Influence of a triclosan toothpaste on periodontopathic bacteria and periodontitis progression in cardiovascular patients: a randomized controlled trial.,2017 Feb,Journal of periodontal research,Seymour GJ; Palmer JE; Leishman SJ; Do HL; Westerman B; Carle AD; Faddy MJ; West MJ; Cullinan MP,Journal Article; Randomized Controlled Trial,"Aggregatibacter actinomycetemcomitans/drug effects; Anti-Infective Agents, Local/*therapeutic use; Cardiovascular Diseases/*complications; Disease Progression; Female; Fusobacterium nucleatum/drug effects; Humans; Male; Middle Aged; Periodontal Attachment Loss/complications/drug therapy/prevention & control; Periodontal Pocket/complications/drug therapy/prevention & control; Periodontitis/complications/drug therapy/microbiology/*prevention & control; Porphyromonas gingivalis/drug effects; Real-Time Polymerase Chain Reaction; Tannerella forsythia/drug effects; Toothpastes/*therapeutic use; Triclosan/*therapeutic use",Clinical
27108476,"Systemic Inflammatory Biomarkers and Their Association With Periodontal and Diabetes-Related Factors in the Diabetes and Periodontal Therapy Trial, A Randomized Controlled Trial.",2016 Aug,Journal of periodontology,Geisinger ML; Michalowicz BS; Hou W; Schoenfeld E; Gelato M; Engebretson SP; Reddy MS; Hyman L,Journal Article; Randomized Controlled Trial,"*Biomarkers; Dental Scaling; Diabetes Mellitus, Type 2/*complications; Glycated Hemoglobin/analysis; Humans; Interleukin-6/blood; Periodontitis/*complications; Tumor Necrosis Factor-alpha/blood",Clinical
26291297,Microbiologic Findings in Relation to Risk Assessment for Periodontal Disease: A Cross-Sectional Study.,2016 Jan,Journal of periodontology,Hur Y; Choi SK; Ogata Y; Stark PC; Levi PA,"Journal Article; Research Support, N.I.H., Extramural",Aggregatibacter actinomycetemcomitans; Bacteroides; Cross-Sectional Studies; Dental Plaque; Humans; Periodontal Pocket; *Periodontitis; Porphyromonas gingivalis; Prevotella intermedia; Risk Assessment,Clinical
23866479,The relationship between periodontal disease severity and state-trait anxiety level.,2012 Dec,JPMA. The Journal of the Pakistan Medical Association,Kesim S; Unalan D; Esen C; Ozturk A,Journal Article,Adult; Chi-Square Distribution; Cross-Sectional Studies; Dental Anxiety/*epidemiology; Educational Status; Female; Humans; Incidence; Logistic Models; Male; Oral Hygiene; Periodontal Diseases/*epidemiology; Periodontal Index; Risk Factors; Severity of Illness Index; Socioeconomic Factors; Surveys and Questionnaires; Turkey/epidemiology,Clinical
21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,2011 Apr,American journal of dentistry,Patsouri A; Mavrogiannea A; Pepelassi E; Gaintantzopoulou M; Kakaboura A,Comparative Study; Journal Article; Randomized Controlled Trial,"Adult; Aged; Analysis of Variance; Chi-Square Distribution; Dental Scaling/adverse effects; Dentifrices/*therapeutic use; Dentin Desensitizing Agents/chemistry/*therapeutic use; Dentin Sensitivity/*drug therapy/etiology; Female; Humans; Male; Middle Aged; Periodontitis/surgery/*therapy; Silicates/therapeutic use; Statistics, Nonparametric",Clinical
34409624,Levels of myeloid-related proteins in saliva for screening and monitoring of periodontal disease.,2021 Nov,Journal of clinical periodontology,Lira-Junior R; Bissett SM; Preshaw PM; Taylor JJ; Bostrom EA,"Journal Article; Research Support, Non-U.S. Gov't",Biomarkers; *Gingivitis; Humans; *Periodontal Diseases; *Periodontitis; Saliva,Clinical
30338757,Nos3 Gene Rs1799983 and Rs2070744 Polymorphisms in Patients with Periodontal Disease.,2018,Folia biologica,Mazurek-Mochol M; Kozak M; Sawczuk M; Maciejewska A; Malinowski D; Safranow K; Pawlik A,Journal Article,"Adult; Aged; Case-Control Studies; Female; *Genetic Predisposition to Disease; Humans; Logistic Models; Male; Middle Aged; Multivariate Analysis; Nitric Oxide Synthase Type III/*genetics; Periodontal Diseases/*genetics; Polymorphism, Single Nucleotide/*genetics; Smoking/genetics",Clinical
33011399,Effectiveness of single versus multiple sessions of photodynamic therapy as adjunct to scaling and root planing on periodontopathogenic bacteria in patients with periodontitis.,2020 Dec,Photodiagnosis and photodynamic therapy,Muzaheed; Acharya S; Hakami AR; Allemailem KS; Alqahtani K; Al Saffan A; Aldakheel FM; Divakar DD,Journal Article; Randomized Controlled Trial,Dental Scaling; Follow-Up Studies; Humans; Periodontal Attachment Loss/drug therapy; Periodontal Pocket/drug therapy; *Periodontitis/drug therapy; *Photochemotherapy/methods; Photosensitizing Agents/therapeutic use; Porphyromonas gingivalis; Root Planing,Clinical
27127325,Azithromycin buccal patch in treatment of chronic periodontitis.,2016 Mar-Apr,Indian journal of pharmacology,Latif SA; Vandana KL; Thimmashetty J; Dalvi PJ,Journal Article; Randomized Controlled Trial,Adult; Anti-Bacterial Agents/administration & dosage/*therapeutic use; Azithromycin/administration & dosage/*therapeutic use; Cheek; Chronic Periodontitis/*drug therapy; Double-Blind Method; Female; Humans; Male; Middle Aged; Root Planing; Young Adult,Clinical
28387607,Risk of Periodontal Disease in Patients With Asthma: A Nationwide Population-Based Retrospective Cohort Study.,2017 Aug,Journal of periodontology,Shen TC; Chang PY; Lin CL; Wei CC; Tu CY; Hsia TC; Shih CM; Hsu WH; Sung FC; Kao CH,"Journal Article; Research Support, Non-U.S. Gov't",Adolescent; Adult; Aged; Asthma/*epidemiology/therapy; Child; Comorbidity; Female; Humans; Incidence; Male; Middle Aged; Periodontal Diseases/*epidemiology/therapy; Retrospective Studies; Risk Factors; Taiwan/epidemiology,Clinical
20113691,Treatment of localized periodontal disease in pregnancy does not reduce the occurrence of preterm birth: results from the Periodontal Infections and Prematurity Study (PIPS).,2010 Feb,American journal of obstetrics and gynecology,Macones GA; Parry S; Nelson DB; Strauss JF; Ludmir J; Cohen AW; Stamilio DM; Appleby D; Clothier B; Sammel MD; Jeffcoat M,"Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, N.I.H., Extramural","Adult; Female; Gestational Age; Humans; Infant, Newborn; Periodontal Diseases/*therapy; Pregnancy; Pregnancy Complications/*therapy; Premature Birth/*prevention & control",Clinical
41128886,Head and neck cancer and periodontal disease: a prevalence study.,2025 Oct 23,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,Lobo LN; Pereira AO; de Bessa Junior J; Contreras JCZ; Martins AG; Oliveira MC,Journal Article,"Humans; Male; Female; Middle Aged; Prevalence; *Head and Neck Neoplasms/complications/epidemiology; Aged; *Periodontal Diseases/epidemiology; Adult; *Periodontitis/epidemiology; Periodontal Index; Severity of Illness Index; Prognosis; Aged, 80 and over; Cross-Sectional Studies",Clinical
36415901,Outcomes of periodontal therapy in rheumatoid arthritis: The OPERA feasibility randomized trial.,2023 Mar,Journal of clinical periodontology,de Pablo P; Serban S; Lopez-Oliva I; Rooney J; Hill K; Raza K; Filer A; Chapple I; Dietrich T,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","Humans; Feasibility Studies; *Arthritis, Rheumatoid/complications/diagnostic imaging/drug therapy; *Periodontitis/complications; *Periodontal Diseases/complications; Periodontal Pocket/complications; Inflammation/complications",Clinical
31071760,Effects of topical application of 1% sodium alendronate gel in the surgical treatment of periodontal intrabony defects: A 6-month randomized controlled clinical trial.,2019 Oct,Journal of periodontology,Carvalho Dutra B; Oliveira AMSD; Oliveira PAD; Miranda Cota LO; Silveira JO; Costa FO,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","Alendronate; *Alveolar Bone Loss; Follow-Up Studies; Guided Tissue Regeneration, Periodontal; Humans; Periodontal Attachment Loss; Periodontal Index; *Periodontitis; Radiography, Dental, Digital; Sodium; Treatment Outcome",Clinical
33673616,The Effect of Melatonin on Periodontitis.,2021 Feb 27,International journal of molecular sciences,Konecna B; Chobodova P; Janko J; Banasova L; Babickova J; Celec P; Tothova L,Journal Article; Randomized Controlled Trial,"Animals; Antioxidants/*pharmacology; Biomarkers/metabolism; *Disease Models, Animal; Humans; Inflammation/*prevention & control; Male; Melatonin/*pharmacology; Middle Aged; Oxidative Stress/*drug effects; Periodontitis/*drug therapy/metabolism/pathology; Rats; Rats, Wistar; Saliva/drug effects/*metabolism",Clinical
37327229,"A placebo-controlled randomized clinical trial of antibiotics versus probiotics as an adjuvant to nonsurgical periodontal treatment among smokers with Stage III, Grade C generalized periodontitis.",2023 Sep,Clinical advances in periodontics,Ghazal M; Ahmed S; Farooqui WA; Khalid F; Riaz S; Akber A; Shabbir S; Khan FR; Sadiq A,Journal Article; Randomized Controlled Trial,"Humans; Anti-Bacterial Agents/therapeutic use; Smokers; *Periodontitis/drug therapy; Adjuvants, Immunologic/therapeutic use; Adjuvants, Pharmaceutic/therapeutic use; *Probiotics/therapeutic use; *Limosilactobacillus reuteri",Clinical
22147238,Effect of vegetable oil (Brazil nut oil) and mineral oil (liquid petrolatum) on dental biofilm control.,2011 Nov-Dec,Brazilian oral research,Filogonio Cde F; Soares RV; Horta MC; Penido CV; Cruz Rde A,Journal Article; Randomized Controlled Trial,Adolescent; Analysis of Variance; Bertholletia/chemistry; Biofilms/*drug effects; Dental Caries/prevention & control; Dental Plaque/*prevention & control; Dentifrices/chemistry/*therapeutic use; Female; Humans; Male; Mineral Oil/chemistry/*therapeutic use; Nuts/*chemistry; Oral Hygiene Index; Periodontal Diseases/prevention & control; Plant Oils/chemistry/*therapeutic use; Time Factors; Treatment Outcome; Young Adult,Clinical
28989139,Prevalence of Periodontal Destruction and Putative Periodontal Pathogens in the Same Lebanese Family.,2017 Oct 1,The journal of contemporary dental practice,Al Yahfoufi Z,Journal Article,Adult; Aggregatibacter actinomycetemcomitans; Child; Chronic Periodontitis/epidemiology/genetics/microbiology; Female; Gingivitis/epidemiology/genetics/microbiology; Humans; Lebanon; Male; Periodontal Diseases/epidemiology/*genetics/microbiology; Porphyromonas gingivalis; Prevalence; Prevotella intermedia; Young Adult,Clinical
39640061,Efficacy of Lycium barbarum (Goji berry) mouthwash for managing periodontitis: a randomized clinical trial.,2023,F1000Research,Sanghavi A; Shettigar L; Chopra A; Shah A; Lobo R; Shenoy PA; Gadag S; Nayak UY; Shravya S M; Kamath SU; Nayak PP,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",Humans; *Mouthwashes/therapeutic use; Female; *Lycium/chemistry; Male; Adult; *Periodontitis/drug therapy; Middle Aged; Chlorhexidine/analogs & derivatives/therapeutic use; Treatment Outcome; Periodontal Index; Antioxidants/metabolism,Clinical
26194850,Nutrient supplementation may adversely affect maternal oral health--a randomised controlled trial in rural Malawi.,2016 Jan,Maternal & child nutrition,Harjunmaa U; Jarnstedt J; Dewey KG; Ashorn U; Maleta K; Vosti SA; Ashorn P,"Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","Dental Caries/epidemiology/*etiology/physiopathology; Dietary Supplements/*adverse effects; Female; Humans; Incidence; Intention to Treat Analysis; Lost to Follow-Up; Malawi/epidemiology; *Maternal Nutritional Physiological Phenomena; Micronutrients/*adverse effects; Outpatient Clinics, Hospital; Periodontitis/epidemiology/*etiology/physiopathology; Postpartum Period; Pregnancy; Pregnancy Complications/epidemiology/*etiology/physiopathology; Prevalence; Risk Factors; *Rural Health; Severity of Illness Index; Single-Blind Method",Clinical
23404007,Clinical and radiological evaluation of human osseous defects (mandibular grade ii furcation involvement) treated with bioresorbable membrane: vicryl mesh.,2012 Nov 1,The journal of contemporary dental practice,Balusubramanya KV; Ramya R; Govindaraj SJ,Comparative Study; Journal Article; Randomized Controlled Trial,"*Absorbable Implants; Adolescent; Adult; Debridement; Follow-Up Studies; Furcation Defects/classification/diagnostic imaging/*surgery; Gingiva/pathology; Gingival Recession/classification/surgery; Guided Tissue Regeneration, Periodontal/instrumentation; Humans; Mandibular Diseases/classification/diagnostic imaging/*surgery; *Membranes, Artificial; Middle Aged; Periodontal Attachment Loss/classification/surgery; Periodontal Pocket/classification/surgery; Periodontitis/classification/surgery; Polyglactin 910/*chemistry; Radiography, Bitewing; Surgical Flaps; *Surgical Mesh; Tooth Cervix/pathology; Wound Healing/physiology; Young Adult",Clinical
40682483,Genetic Loci Associated With Periodontitis: The FinnGen Study Based on National Health Registers.,2025 Sep,Journal of clinical periodontology,Salminen A; Hyvarinen K; Ritari J; Caetano A; Kambur O; Mantyla P; Yilmaz M; Sinisalo J; Perola M; Havulinna A; Nibali L; Gursoy UK; Pussinen PJ,"Journal Article; Research Support, Non-U.S. Gov't","Humans; Genome-Wide Association Study; Finland/epidemiology; *Periodontitis/genetics; Polymorphism, Single Nucleotide; Male; *Genetic Predisposition to Disease; Female; Registries; *Genetic Loci; Phenotype; Middle Aged; Adult; Gene Frequency",Clinical
27371775,Salivary levels of inflammatory cytokines and their association to periodontal disease in systemic lupus erythematosus patients. A case-control study.,2016 Sep,Cytokine,Marques CP; Victor EC; Franco MM; Fernandes JM; Maor Y; de Andrade MS; Rodrigues VP; Benatti BB,Journal Article,"Adult; Case-Control Studies; Cytokines/*metabolism; Female; Humans; Inflammation/*metabolism; Interferon-gamma/metabolism; Interleukin-17/metabolism; Interleukin-1beta/metabolism; Interleukin-4/metabolism; Lupus Erythematosus, Systemic/*metabolism; Male; Middle Aged; Periodontal Diseases/*metabolism; Periodontitis/metabolism; Saliva/*metabolism",Clinical
31410672,"The application of antimicrobial photodynamic therapy (aPDT, 670 nm) and diode laser (940 nm) as adjunctive approach in the conventional cause-related treatment of chronic periodontal disease: a randomized controlled split-mouth clinical trial.",2020 May,Clinical oral investigations,Katsikanis F; Strakas D; Vouros I,Journal Article; Randomized Controlled Trial,"Anti-Infective Agents/*therapeutic use; Chronic Periodontitis/*drug therapy; Dental Scaling; Humans; *Lasers, Semiconductor; *Photochemotherapy; Root Planing; Treatment Outcome",Clinical
23979781,Dental findings and identification of undiagnosed hyperglycemia.,2013 Oct,Journal of dental research,Lalla E; Cheng B; Kunzel C; Burkett S; Lamster IB,"Journal Article; Research Support, Non-U.S. Gov't; Validation Study","Adult; Blood Glucose/analysis; Chi-Square Distribution; Cohort Studies; Cross-Sectional Studies; Diabetes Mellitus, Type 2/complications/*diagnosis; Female; Glycated Hemoglobin/analysis; Humans; Hyperglycemia/complications/*diagnosis; Logistic Models; Male; Middle Aged; Prediabetic State/complications/*diagnosis; Predictive Value of Tests; ROC Curve; Risk Factors; Sensitivity and Specificity; Tooth Loss/*complications",Clinical
26498672,Predictors of tooth loss due to periodontal disease in patients following long-term periodontal maintenance.,2015 Dec,Journal of clinical periodontology,Martinez-Canut P,Journal Article,Aggressive Periodontitis; Gingival Diseases; Humans; Retrospective Studies; Smoking; *Tooth Loss,Clinical
34289658,Bacteria and oral cavity: a new story to tell.,2021 May-Jun,Journal of biological regulators and homeostatic agents,Mucchi D,Journal Article,Adult; Bacteria/genetics; *Gingivitis; Humans; *Periodontal Diseases; *Periodontitis,Clinical
36504197,Low-level laser therapy has an additional effect with open flap debridement on the treatment of stage III periodontitis: a split-mouth randomized clinical trial.,2023 Apr 11,"Quintessence international (Berlin, Germany : 1985)",Shakoush G; Albonni H; Almahdi W,Journal Article; Randomized Controlled Trial,Humans; *Low-Level Light Therapy; *Chronic Periodontitis/radiotherapy/surgery; Debridement/methods; Treatment Outcome; Postoperative Pain; Periodontal Attachment Loss/radiotherapy/surgery; Follow-Up Studies; Dental Scaling/methods,Clinical
28598287,Association Between Periodontitis and Amyloid beta Peptide in Elderly People With and Without Cognitive Impairment.,2017 Oct,Journal of periodontology,Gil-Montoya JA; Barrios R; Santana S; Sanchez-Lara I; Pardo CC; Fornieles-Rubio F; Montes J; Ramirez C; Gonzalez-Moles MA; Burgos JS,"Journal Article; Research Support, Non-U.S. Gov't","Aged; Aged, 80 and over; Amyloid beta-Peptides/*blood; Case-Control Studies; *Cognitive Dysfunction; Enzyme-Linked Immunosorbent Assay; Female; Humans; Male; Middle Aged; Periodontitis/*blood; Risk Factors; Spain",Clinical
29972709,Periodontal treatment limits platelet activation in patients with periodontitis-a controlled-randomized intervention trial.,2018 Sep,Journal of clinical periodontology,Laky M; Anscheringer I; Wolschner L; Heber S; Haririan H; Schrottmaier WC; Kral-Pointner JB; Salzmann M; Volf I; Moritz A; Assinger A,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",Humans; *Periodontitis; *Platelet Activation; Platelet Aggregation; Platelet Glycoprotein GPIIb-IIIa Complex; Prospective Studies,Clinical
24624390,Supportive periodontal treatment and full-mouth ultrasonic debridement: a randomised controlled clinical trial.,2014,Oral health & preventive dentistry,Ueda PH; Casati MZ; Casarin RC; Pera C; Pimentel SP; Cirano FR,Comparative Study; Journal Article; Randomized Controlled Trial,Adult; Alveolar Bone Loss/classification; Chronic Periodontitis/prevention & control/*therapy; Dental Calculus/therapy; Dental Plaque/therapy; Dental Plaque Index; Dental Scaling/instrumentation; Double-Blind Method; Female; Follow-Up Studies; Gingival Recession/therapy; Humans; Male; Middle Aged; Oral Hygiene/education/instrumentation; Periodontal Attachment Loss/therapy; Periodontal Debridement/instrumentation/*methods; Periodontal Index; Periodontal Pocket/therapy; Ultrasonics/instrumentation,Clinical
39549249,Artificial intelligence with counseling on the treatment outcomes and quality of life in periodontitis patients.,2025 Jul,Journal of periodontology,You FT; Lin PC; Huang CL; Wu JH; Kabasawa Y; Chen CC; Huang HL,Journal Article; Randomized Controlled Trial,Humans; *Quality of Life; Female; Male; Middle Aged; *Artificial Intelligence; *Counseling/methods; *Periodontitis/therapy/psychology; Treatment Outcome; Adult; Oral Health; Periodontal Index; Periodontal Pocket/therapy; Follow-Up Studies; Periodontal Attachment Loss/therapy,Clinical
20495936,Periodontal therapy and risk for adverse pregnancy outcomes.,2011 Oct,Clinical oral investigations,Oliveira AM; de Oliveira PA; Cota LO; Magalhaes CS; Moreira AN; Costa FO,"Comparative Study; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","Adolescent; Adult; Birth Weight; Dental Plaque Index; Dental Prophylaxis; Female; Gingival Hemorrhage/therapy; Humans; Infant, Low Birth Weight; Infant, Newborn; Infant, Premature; Oral Hygiene/education; Patient Education as Topic; Periodontal Attachment Loss/therapy; Periodontal Debridement; Periodontal Pocket/therapy; Periodontitis/*therapy; Pregnancy; Pregnancy Complications/*therapy; *Pregnancy Outcome; Pregnancy Trimester, Second; Premature Birth/etiology; Risk Assessment; Term Birth; Young Adult",Clinical
22407618,"PDT in non-surgical treatment of periodontitis in HIV patients: a split-mouth, randomized clinical trial.",2012 Apr,Lasers in surgery and medicine,Noro Filho GA; Casarin RC; Casati MZ; Giovani EM,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","AIDS-Related Opportunistic Infections/*drug therapy/therapy; Adult; Bacteroidaceae Infections/*drug therapy/therapy; Combined Modality Therapy; Dental Scaling; Double-Blind Method; Female; Humans; Lasers, Semiconductor; Male; Methylene Blue/*therapeutic use; Middle Aged; Pasteurellaceae Infections/*drug therapy/therapy; Periodontitis/*drug therapy/therapy; *Photochemotherapy; Photosensitizing Agents/*therapeutic use; Treatment Outcome",Clinical
38606656,"Association of sense of coherence and periodontal disease severity, in two cross-sectional studies.",2024 Nov,International journal of dental hygiene,Wahlin A; Lindmark U; Norderyd O,Journal Article,Humans; *Sense of Coherence; Cross-Sectional Studies; Male; Female; Middle Aged; *Severity of Illness Index; Sweden; Adult; Surveys and Questionnaires; *Smoking; Periodontal Diseases/psychology/classification; Aged; Periodontitis/psychology; Age Factors; Educational Status,Clinical
40643719,"Effect of 0.8% Hyaluronic Acid-Based Gel on Clinical and Biomolecular parameters in the surgical periodontal treatment of Stage III periodontitis patients: a randomized, split-mouth clinical trial.",2025 Jul 11,Clinical oral investigations,Sener A; Dede FO; Avci B; Balli U,Journal Article; Randomized Controlled Trial,Humans; *Hyaluronic Acid/administration & dosage/pharmacology/therapeutic use; Female; Gingival Crevicular Fluid/chemistry; Male; Gels; Adult; Middle Aged; *Periodontitis/surgery/drug therapy; Biomarkers/metabolism/analysis; Enzyme-Linked Immunosorbent Assay; Treatment Outcome; *Periodontal Debridement,Clinical
27276852,Estimation of total bacteria by real-time PCR in patients with periodontal disease.,2016 Jan-Feb,Srpski arhiv za celokupno lekarstvo,Brajovic G; Popovic B; Puletic M; Kostic M; Milasin J,"Journal Article; Research Support, Non-U.S. Gov't","*Bacteria/genetics/isolation & purification; Bacterial Load/*methods; Case-Control Studies; *DNA, Bacterial/analysis/genetics; Humans; Periodontal Diseases/*microbiology; Real-Time Polymerase Chain Reaction/*methods",Clinical
39304607,Assessment of the Effectiveness of Probiotics-assisted Physical Interventions in the Management of Chronic Periodontitis: A Randomized Controlled Clinical Trial.,2025 Dec,Probiotics and antimicrobial proteins,Wang L; Wang R; He Q; Hu Q; Yang J; Tang X,Journal Article; Randomized Controlled Trial,Humans; *Probiotics/administration & dosage; *Chronic Periodontitis/therapy/microbiology; Male; Female; Middle Aged; Adult; Saliva/microbiology; Lactobacillus acidophilus; Treatment Outcome; *Physical Therapy Modalities,Clinical
36601105,Reverse causal relationship between periodontitis and shortened telomere length: Bidirectional two-sample Mendelian random analysis.,2022,Frontiers in immunology,Hu J; Song J; Chen Z; Yang J; Shi Q; Jin F; Pang Q; Chang X; Tian Y; Luo Y; Chen L,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",Humans; Causality; *Chronic Periodontitis; *Genome-Wide Association Study; Telomere/genetics; Telomere Shortening,Clinical
25044345,Clinical utility of locally-delivered collagen-based biodegradable tetracycline fibers in periodontal therapy: an in vivo study.,2015 Nov,Journal of investigative and clinical dentistry,Khan FY; Jan SM; Mushtaq M,Comparative Study; Journal Article; Randomized Controlled Trial,"*Absorbable Implants; Administration, Topical; Adult; Anti-Bacterial Agents/*administration & dosage; Chronic Periodontitis/*drug therapy/therapy; Combined Modality Therapy; Delayed-Action Preparations; Dental Plaque Index; Dental Scaling/methods; Drug Carriers; Female; *Fibrillar Collagens; Follow-Up Studies; Humans; Male; Middle Aged; Periodontal Attachment Loss/drug therapy/therapy; Periodontal Index; Periodontal Pocket/drug therapy/therapy; Root Planing/methods; Tetracycline/*administration & dosage; Treatment Outcome",Clinical
31301146,Photoactivated disinfection in periodontal treatment: A randomized controlled clinical split-mouth trial.,2019 Nov,Journal of periodontology,Husejnagic S; Lettner S; Laky M; Georgopoulos A; Moritz A; Rausch-Fan X,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",*Chronic Periodontitis; *Dental Scaling; Disinfection; Humans; Periodontal Attachment Loss; Periodontal Pocket; Treatment Outcome,Clinical
40045044,Should we prescribe systemic antibiotics alongside periodontal therapy for diabetic patients?,2025 Mar,Evidence-based dentistry,Rimmer S; Dobson M,Journal Article; Randomized Controlled Trial,"Humans; *Diabetes Mellitus, Type 2/complications; *Anti-Bacterial Agents/therapeutic use/administration & dosage; *Amoxicillin/therapeutic use/administration & dosage; Middle Aged; Female; *Metronidazole/therapeutic use/administration & dosage; Male; Adult; Dental Scaling; Aged; Root Planing; Glycated Hemoglobin/analysis; *Chronic Periodontitis/therapy/complications; Blood Glucose; Combined Modality Therapy; Glycemic Control; *Periodontitis/therapy",Clinical
25900347,Full mouth periodontal debridement with or without adjunctive metronidazole gel in smoking patients with chronic periodontitis: A pilot study.,2016 Feb,Journal of periodontal research,Bergamaschi CC; Santamaria MP; Berto LA; Cogo-Muller K; Motta RH; Salum EA; Nociti Junior FH; Goodson JM; Groppo FC,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",Chronic Periodontitis/*drug therapy; Dental Scaling; Follow-Up Studies; Humans; Metronidazole; Periodontal Attachment Loss/drug therapy; Periodontal Debridement; Periodontal Index; Periodontal Pocket/drug therapy; Pilot Projects; Smoking,Clinical
40269777,The clinical efficacy of injectable platelet-rich fibrin (i-PRF) as an adjunct to nonsurgical periodontal therapy in smokers with periodontitis.,2025 Apr 23,BMC oral health,Cagiran Gurbuz T; Meraci Yildiran B,Journal Article; Randomized Controlled Trial,Humans; *Platelet-Rich Fibrin; Male; Female; Middle Aged; Dental Scaling/methods; *Periodontitis/therapy; Periodontal Index; Adult; Root Planing; Treatment Outcome; Combined Modality Therapy; *Smokers,Clinical
40405209,The impact of Limosilactobacillus reuteri in combination with non-surgical periodontal therapy on periodontal clinical parameters and salivary and subgingival microbiota composition in individuals with stage III-IV periodontitis: a randomized controlled trial.,2025 May 22,BMC oral health,Huo P; Deng L; Lu J; Kan P; Jing R; Luo LJ,Journal Article; Randomized Controlled Trial,Humans; *Limosilactobacillus reuteri; Male; Female; Adult; *Probiotics/therapeutic use; Middle Aged; *Saliva/microbiology; *Gingiva/microbiology; *Periodontitis/therapy/microbiology; *Microbiota; Biofilms; Combined Modality Therapy,Clinical
40319277,Effect of periodontal therapy on lung function: a twelve-month follow-up intervention study.,2025 May 3,Respiratory research,Rosland A; Bertelsen RJ; Heinrich J; Lie SA; Malinovschi A; Bunaes DF,Journal Article; Randomized Controlled Trial,Adult; Female; Humans; Male; Middle Aged; Young Adult; Airway Resistance/physiology; Follow-Up Studies; *Lung/physiology/physiopathology; *Periodontitis/therapy/physiopathology/diagnosis; Prospective Studies; Respiratory Function Tests/methods; Single-Blind Method; Spirometry; Treatment Outcome,Clinical
31088439,Radiographic alveolar bone level and levels of serum 25-OH-Vitamin D(3) in ethnic Norwegian and Tamil periodontitis patients and their periodontally healthy controls.,2019 May 14,BMC oral health,Ketharanathan V; Torgersen GR; Petrovski BE; Preus HR,"Journal Article; Research Support, Non-U.S. Gov't",Animals; Bone and Bones; Cholecalciferol/blood/*deficiency; Humans; India/epidemiology; Norway/epidemiology; Periodontitis/blood/*epidemiology; Vitamin D/blood; Vitamin D Deficiency/*blood,Clinical
26367496,"Gingival Crevicular Fluid Levels of Sclerostin, Osteoprotegerin, and Receptor Activator of Nuclear Factor-kappaB Ligand in Periodontitis.",2015 Dec,Journal of periodontology,Balli U; Aydogdu A; Dede FO; Turer CC; Guven B,Journal Article,*Gingival Crevicular Fluid; Humans; Osteoprotegerin; *Periodontitis; RANK Ligand,Clinical
29709606,Effect of photodynamic therapy as an adjuvant to non-surgical periodontal therapy: Periodontal and metabolic evaluation in patients with type 2 diabetes mellitus.,2018 Jun,Photodiagnosis and photodynamic therapy,Barbosa FI; Araujo PV; Machado LJC; Magalhaes CS; Guimaraes MMM; Moreira AN,Journal Article; Randomized Controlled Trial,"Chronic Periodontitis/drug therapy/*epidemiology/*therapy; Combined Modality Therapy; Dental Plaque Index; Dental Scaling/*methods; Diabetes Mellitus, Type 2/*epidemiology; Female; Glycated Hemoglobin; Humans; Male; Methylene Blue/therapeutic use; Middle Aged; Periodontal Index; Photochemotherapy/*methods; Photosensitizing Agents/therapeutic use; Pilot Projects; Root Planing/methods; Single-Blind Method",Clinical
27807887,"The Impact of Resveratrol Supplementation on Blood Glucose, Insulin, Insulin Resistance, Triglyceride, and Periodontal Markers in Type 2 Diabetic Patients with Chronic Periodontitis.",2017 Jan,Phytotherapy research : PTR,Zare Javid A; Hormoznejad R; Yousefimanesh HA; Zakerkish M; Haghighi-Zadeh MH; Dehghan P; Ravanbakhsh M,Journal Article; Randomized Controlled Trial,Blood Glucose/*metabolism; Chronic Periodontitis/*drug therapy; Double-Blind Method; Female; Humans; Insulin/*blood; Insulin Resistance/*immunology; Male; Middle Aged; Resveratrol; Stilbenes/chemistry/pharmacology/*therapeutic use; Triglycerides/*metabolism,Clinical
