PMID,Title,Year,Journal,Authors,PublicationTypes,Mesh,Dataset
26928597,The concomitant administration of systemic amoxicillin and metronidazole compared to scaling and root planing alone in treating periodontitis: =a systematic review=.,2016 Feb 29,BMC oral health,Zandbergen D; Slot DE; Niederman R; Van der Weijden FA,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review",Amoxicillin/*administration & dosage; Anti-Bacterial Agents/*administration & dosage; *Dental Scaling; Humans; Metronidazole/*administration & dosage; Periodontal Pocket/drug therapy; Periodontitis/*drug therapy/therapy; *Root Planing; Treatment Outcome,Review
34608627,Periodontitis and Systemic Lupus Erythematosus: A systematic review and meta-analysis.,2022 Jan,Journal of periodontal research,Hussain SB; Leira Y; Zehra SA; Botelho J; Machado V; Ciurtin C; D'Aiuto F; Orlandi M,Journal Article; Meta-Analysis; Systematic Review,"Female; Gingiva; Humans; *Lupus Erythematosus, Systemic/complications/epidemiology; *Periodontitis/complications/epidemiology; Prevalence",Review
36377800,Periodontitis and risk of immune-mediated systemic conditions: A systematic review and meta-analysis.,2023 Oct,Community dentistry and oral epidemiology,Larvin H; Kang J; Aggarwal VR; Pavitt S; Wu J,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review",Humans; *Periodontitis/complications/epidemiology; Cohort Studies,Review
24880982,Does periodontal treatment influence clinical and biochemical measures for rheumatoid arthritis? A systematic review and meta-analysis.,2014 Oct,Seminars in arthritis and rheumatism,Kaur S; Bright R; Proudman SM; Bartold PM,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review","Adult; Aged; Arthritis, Rheumatoid/*blood/*diagnosis/epidemiology; Biomarkers/blood; Blood Sedimentation; C-Reactive Protein/metabolism; Female; Humans; Interleukin-6/blood; Male; Middle Aged; Periodontitis/*complications/diagnosis/*drug therapy; Rheumatoid Factor/blood; Risk Factors; *Severity of Illness Index; Tumor Necrosis Factor-alpha/blood",Review
23151293,Effect of periodontal therapy on prevention of gastric Helicobacter pylori recurrence: a systematic review and meta-analysis.,2012 Dec,Journal of clinical periodontology,Bouziane A; Ahid S; Abouqal R; Ennibi O,Journal Article; Meta-Analysis; Systematic Review,Chi-Square Distribution; Dental Plaque/*therapy; Helicobacter Infections/*prevention & control; *Helicobacter pylori/drug effects; Humans; Likelihood Functions; Mouth/microbiology; Periodontitis/*therapy; Publication Bias; Secondary Prevention; Stomach Diseases/microbiology/*prevention & control,Review
37023342,Prevalence of periodontal disease among Vietnamese adults: A systematic review and meta-analysis.,2023 Jan-Mar,Dental and medical problems,Tran DQ; Vu CTQ; Phan QN; Nguyen CTM,Journal Article; Meta-Analysis; Systematic Review,Adult; Aged; Humans; Cross-Sectional Studies; *Periodontal Diseases/epidemiology; Prevalence; *Southeast Asian People/statistics & numerical data; Vietnam/epidemiology,Review
27825315,Periodontitis and gestational diabetes mellitus: a systematic review and meta-analysis of observational studies.,2016 Nov 8,BMC pregnancy and childbirth,Abariga SA; Whitcomb BW,Journal Article; Meta-Analysis; Systematic Review,"Case-Control Studies; Cross-Sectional Studies; Diabetes, Gestational/diagnosis/*epidemiology; Female; Humans; Observational Studies as Topic; Periodontitis/diagnosis/*epidemiology; Pregnancy; Risk Factors",Review
32051966,Association Between Periodontitis and Nosocomial Pneumonia: A Systematic Review and Meta-analysis of Observational Studies.,2020 Feb 14,Oral health & preventive dentistry,Jeronimo LS; Abreu LG; Cunha FA; Esteves Lima RP,Journal Article; Meta-Analysis; Systematic Review,Case-Control Studies; *Cross Infection; Humans; Observational Studies as Topic; *Periodontitis; *Pneumonia,Review
31969148,Effects of non-surgical periodontal therapy on systemic inflammation and metabolic markers in patients undergoing haemodialysis and/or peritoneal dialysis: a systematic review and meta-analysis.,2020 Jan 22,BMC oral health,Yue H; Xu X; Liu Q; Li X; Xiao Y; Hu B,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review","Biomarkers/analysis/*metabolism; C-Reactive Protein/metabolism; Chronic Periodontitis/metabolism/*therapy; Humans; Inflammation/*blood/pathology; Interleukin-6/*analysis; Kidney Failure, Chronic/*blood/therapy; Lipids/blood; Peritoneal Dialysis; Renal Dialysis; Tumor Necrosis Factor-alpha/blood",Review
36261851,The effect of antiretroviral therapyon the periodontal conditions of patients with HIV infection: A systematic review and meta-analysis.,2023 Feb,Journal of clinical periodontology,Ntolou P; Pani P; Panis V; Madianos P; Vassilopoulos S,Journal Article; Meta-Analysis; Systematic Review,Humans; *HIV Infections/complications/drug therapy; Cross-Sectional Studies; *Periodontal Diseases; *Periodontitis/complications/epidemiology/drug therapy; *Gingival Diseases,Review
