PMID,Title,Dataset,n_sentences,mean_label_confidence,mean_local_similarity,min_local_similarity,local_similarity_volatility,local_discontinuity_burden,within_role_discontinuity_burden,mean_similarity_to_opening_anchor,final_similarity_to_opening_anchor,mean_similarity_to_own_role_anchor_loo,observed_roles,required_roles_present,missing_required_roles,n_Background,within_Background_similarity,n_Aim,within_Aim_similarity,n_Methods,within_Methods_similarity,n_Results,within_Results_similarity,n_Conclusion,within_Conclusion_similarity,n_Limitation/Future,within_Limitation/Future_similarity,conclusion_to_aim_alignment,conclusion_to_results_alignment,results_to_methods_alignment,methods_to_aim_alignment,results_to_aim_alignment,conclusion_to_background_plus_aim_alignment,conclusion_plus_future_to_background_plus_aim_alignment,abstract_key,tertile__within_results_analogue,tertile__conclusion_results_analogue,tertile__final_similarity_to_opening_analogue,tertile__closing_to_opening_analogue,tertile__methods_aim_analogue,tertile__results_aim_analogue,tertile__n_T1,tertile__n_T2,tertile__n_T3,quintile__within_results_analogue,quintile__conclusion_results_analogue,quintile__final_similarity_to_opening_analogue,quintile__closing_to_opening_analogue,quintile__methods_aim_analogue,quintile__results_aim_analogue,quintile__n_B1,quintile__n_B2,quintile__n_B3,quintile__n_B4,quintile__n_B5,template__n_Background,template__within_Background_similarity,template__n_Aim,template__within_Aim_similarity,template__n_Methods,template__within_Methods_similarity,template__n_Results,template__within_Results_similarity,template__n_Conclusion,template__within_Conclusion_similarity,template__n_Limitation/Future,template__within_Limitation/Future_similarity,template__conclusion_to_aim_alignment,template__conclusion_to_results_alignment,template__results_to_methods_alignment,template__methods_to_aim_alignment,template__results_to_aim_alignment,template__final_similarity_to_opening_anchor,template__conclusion_to_background_plus_aim_alignment,template__conclusion_plus_future_to_background_plus_aim_alignment
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0833333333333333,0.5432213296492895,0.4252724926918745,0.2902425053444775,Aim; Background; Conclusion; Methods; Results,True,,2,0.6677556037902832,1,,5,0.2688083574175834,2,-0.0434607006609439,2,-0.0643027499318122,0,,0.623849630355835,0.5159451961517334,0.6500505805015564,0.7243898510932922,0.6257463097572327,0.6217482686042786,0.6217482686042786,Review::32316357::Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,0.2454566696520026,0.7334982752799988,0.8215957283973694,0.7599534392356873,0.6628944873809814,0.6628944873809814,4,4,4,0.0210892512194823,0.3303765952587127,0.8388397097587585,0.7728180885314941,0.7155722379684448,0.1320972144603729,2,2,3,2,3,1,,1,,4,0.523164295619597,4,0.1041847676047607,2,-0.0643027087830443,0,,0.6371465921401978,0.6412550210952759,0.677341878414154,0.7845489978790283,0.4681367874145508,0.8388397097587585,0.585423469543457,0.585423469543457
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,17,0.9811764705882352,0.2543467448558658,-0.0248483531177043,0.2299747542026248,0.0588235294117647,0.0,0.3663479887387332,0.1928823925554752,0.3867152541875839,Aim; Background; Conclusion; Methods; Results,True,,1,,1,,7,0.1305922636141379,5,0.4965560510754585,3,0.2132483820120493,0,,0.4585414230823517,0.7517340183258057,0.3351690173149109,0.3912373781204223,0.4860665798187256,0.534804105758667,0.534804105758667,Review::39948158::The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,0.2170537650916441,0.6884486675262451,0.1337218880653381,0.5254333019256592,0.5559897422790527,0.5559897422790527,5,6,6,0.6180268583312319,0.6488522291183472,0.1151457875967025,0.5339492559432983,0.4552107751369476,0.4582120180130005,3,3,4,3,4,2,0.235138579132206,2,0.2009629521035888,5,0.1976277477005729,5,0.446646058065672,3,0.1304938704566009,0,,0.1915701925754547,0.7244150638580322,0.4086211323738098,0.3122832179069519,0.1140049695968627,0.1760083138942718,0.4981836080551147,0.4981836080551147
40897233,Clinical outcomes of periodontal regeneration using biologic agents alone or in combination with graft materials for intrabony defects: A systematic review and meta-analysis.,Review,14,0.9814285714285716,0.2713749527644652,-0.0055460277944803,0.1624683577050855,0.2142857142857142,0.1428571428571428,0.3673074868108545,0.4185573309659958,0.3154331408441067,Aim; Conclusion; Methods; Results,True,,0,,2,-0.0055460277944803,4,0.2878433962663014,5,0.2606164820492267,3,0.2074632328003645,0,,0.5879712700843811,0.6423207521438599,0.5907778143882751,0.538122832775116,0.3290178179740906,0.5879712700843811,0.5879712700843811,Review::40897233::Clinical outcomes of periodontal regeneration using biologic agents alone or in combination with graft materials for intrabony defects: A systematic review and meta-analysis.,0.3137132315477809,0.5997146368026733,0.5718752145767212,0.5237754583358765,0.426557719707489,0.426557719707489,4,5,5,0.2300331871675497,0.597468912601471,0.5489448308944702,0.5879712700843811,0.4936954975128174,0.3040027618408203,2,3,3,3,3,2,-0.0055460258111492,1,,5,0.3268761980951772,4,0.1827179862677067,2,0.5581129635085615,0,,0.1440007090568542,0.5086225271224976,0.5813714265823364,0.2989916503429413,0.171415239572525,0.4788506627082824,0.4347714483737945,0.4347714483737945
39248301,The impact of systemic and topical antimicrobial therapy combined with non-surgical periodontal therapy: A meta-analysis.,Review,13,0.9846153846153848,0.2035869157407432,-0.0404628217220306,0.2587546164261293,0.0,0.0,0.441738846210333,0.4858090579509735,0.2678729086183011,Aim; Background; Conclusion; Methods; Results,True,,1,,2,0.0148042980581521,3,0.1328439762194951,4,0.3125636180241902,3,0.2012362504998842,0,,0.5504940748214722,0.7864197492599487,0.3651986122131347,0.5633406043052673,0.3965510725975036,0.5810703039169312,0.5810703039169312,Review::39248301::The impact of systemic and topical antimicrobial therapy combined with non-surgical periodontal therapy: A meta-analysis.,0.1812805624305056,0.5615938901901245,0.2809991836547851,0.4741144180297851,0.6078783273696899,0.6078783273696899,4,4,5,0.5716024549696849,0.7445160746574402,0.1842320263385772,0.4760236740112304,0.5547800660133362,0.3565026521682739,2,3,2,3,3,2,-0.0328063598576824,1,,4,0.1394907908761156,4,0.3083707442319661,2,0.602502965184986,0,,0.6513625383377075,0.7524588108062744,0.3964991569519043,0.4977562129497528,0.4071757197380066,0.294452965259552,0.5427266359329224,0.5427266359329224
27454460,Root coverage procedures improve patient aesthetics. A systematic review and Bayesian network meta-analysis.,Review,8,0.98375,0.2324978624071393,0.0683775544166565,0.1033785616408591,0.25,0.125,0.4338531442917883,0.3787318188697099,0.2477105728217533,Aim; Conclusion; Methods; Results,True,,0,,1,,2,0.3733854293823242,3,0.2208860417207082,2,0.0683775544166565,0,,0.5181844234466553,0.611432671546936,0.5704865455627441,0.524135172367096,0.4061528444290161,0.5181844234466553,0.5181844234466553,Review::27454460::Root coverage procedures improve patient aesthetics. A systematic review and Bayesian network meta-analysis.,0.3396042892206295,0.5933699011802673,0.5255393981933594,0.5419975519180298,0.5121285915374756,0.5121285915374756,2,3,3,0.2775199945041141,0.4947925209999084,0.7020816802978516,0.5181844234466553,0.4562151730060577,0.4527853429317474,1,2,1,2,2,1,,1,,3,0.3396042892206295,2,0.1011117633339058,1,,0,,0.1521908044815063,0.4051210880279541,0.5672754049301147,0.4130485653877258,0.3292081952095032,0.5255393981933594,0.5255393981933594,0.5255393981933594
26595831,Association of susceptible genotypes to periodontal disease with the clinical outcome and tooth survival after non-surgical periodontal therapy: A systematic review and meta-analysis.,Review,16,0.985,0.2240954069420695,-0.0083545185625553,0.188776086156861,0.125,0.0,0.3289827232947573,0.3657200783491134,0.307839535176754,Aim; Background; Conclusion; Limitation/Future; Methods; Results,True,,1,,1,,6,0.173206723605593,6,0.1832442626357078,1,,1,,0.5296947956085205,0.4446271657943725,0.5258718729019165,0.1832576543092727,0.5985637903213501,0.5533971786499023,0.5135166049003601,Review::26595831::Association of susceptible genotypes to periodontal disease with the clinical outcome and tooth survival after non-surgical periodontal therapy: A systematic review and meta-analysis.,0.1883366124140146,0.3606497943401336,0.4125017523765564,0.6987230777740479,0.3864195346832275,0.3864195346832275,5,5,6,0.2121929923013532,0.507733166217804,0.2476939260959625,0.5866948366165161,0.286495953798294,0.5552986860275269,3,3,3,3,4,2,0.7550503049417245,1,,5,0.1907884159088627,5,0.1840368856530752,3,0.1626128372523858,0,,0.0889182984828949,0.5657763481140137,0.5860307216644287,0.2324638217687606,0.1513386368751526,0.2476939260959625,0.509973406791687,0.509973406791687
34246253,Effects of non-surgical periodontal therapy on periodontal clinical data in periodontitis patients with rheumatoid arthritis: a meta-analysis.,Review,19,0.9778947368421052,0.3574722496171792,0.0551500916481018,0.2164606932488529,0.2105263157894736,0.1578947368421052,0.4061078719402614,0.4915710240602493,0.4445424824953079,Aim; Background; Conclusion; Limitation/Future; Methods; Results,True,,1,,1,,7,0.2941298044863201,5,0.3450590103864669,4,0.2550326933463414,1,,0.6511765122413635,0.6567317247390747,0.6224100589752197,0.4494685232639313,0.5105292797088623,0.67817223072052,0.6295172572135925,Review::34246253::Effects of non-surgical periodontal therapy on periodontal clinical data in periodontitis patients with rheumatoid arthritis: a meta-analysis.,0.3329282689849472,0.7140271663665771,0.4368351101875305,0.6500888466835022,0.7386831641197205,0.7386831641197205,6,6,7,0.2535608747288231,0.5406845808029175,0.2743877172470093,0.7111948728561401,0.5436327457427979,0.3822816610336303,3,4,4,4,4,2,0.6590641952914501,2,0.055150062791796,6,0.355019016202153,6,0.2484360999398152,3,0.3213787556233397,0,,0.5858625769615173,0.6309102773666382,0.6276212930679321,0.486453652381897,0.4610455632209778,0.3125584125518799,0.7872002124786377,0.7872002124786377
31577700,Association between the IL-10 rs1800872 polymorphisms and periodontitis susceptibility: A meta-analysis.,Review,12,0.9825,0.2890418994833122,0.0361088626086711,0.2096586824645718,0.1666666666666666,0.1666666666666666,0.5058516748249531,0.6161329001188278,0.3196193650364876,Aim; Background; Conclusion; Methods; Results,True,,2,0.5891667604446411,1,,3,0.0392035283148288,4,0.217535350471735,2,0.4381832480430603,0,,0.2427747249603271,0.6467143297195435,0.5526773929595947,0.3786304295063019,0.3659515082836151,0.7265780568122864,0.7265780568122864,Review::31577700::Association between the IL-10 rs1800872 polymorphisms and periodontitis susceptibility: A meta-analysis.,0.1440179585120829,0.4625259041786194,0.3939539492130279,0.6711953282356262,0.5520649552345276,0.5520649552345276,4,4,4,0.2526392114461349,0.6312063932418823,0.5335072875022888,0.7635166645050049,0.3094921410083771,0.5864455699920654,2,2,3,2,3,1,,1,,4,0.1331070914906333,4,0.2175353305594078,2,0.438183144330909,0,,0.7251850962638855,0.6467143297195435,0.5748598575592041,0.3617480993270874,0.6440541744232178,0.5335072875022888,0.7402892708778381,0.7402892708778381
33179280,Is periodontal disease a risk indicator for colorectal cancer? A systematic review and meta-analysis.,Review,12,0.9783333333333334,0.247458815574646,0.1011963784694671,0.1856220736898615,0.0,0.0,0.5176189709454775,0.6098521649837494,0.2920660823583603,Aim; Background; Conclusion; Methods; Results,True,,2,0.1418047845363617,1,,2,0.2497444599866867,3,0.1624026745557785,4,0.3164638852079709,0,,0.784104585647583,0.6308650970458984,0.6292524337768555,0.6393481492996216,0.5668656826019287,0.7083697319030762,0.7083697319030762,Review::33179280::Is periodontal disease a risk indicator for colorectal cancer? A systematic review and meta-analysis.,0.2643060489824108,0.6886721849441528,0.5131150484085083,0.7014130353927612,0.669306218624115,0.669306218624115,4,4,4,0.1032632414414419,0.618752121925354,0.4848612546920776,0.5180412530899048,0.4977440237998962,0.3748258650302887,2,2,3,2,3,1,,1,,4,0.2787977758511073,4,0.266337020941611,2,0.4093600451147228,0,,0.134405106306076,0.632684588432312,0.7777796983718872,0.3190368115901947,0.2684556245803833,0.4848612546920776,0.5420688390731812,0.5420688390731812
41810713,Oral Health and Oral Hygiene Status Among the Particularly Vulnerable Tribal Groups (PVTGs) of India: A Systematic Review and Meta-Analysis.,Review,17,0.9794117647058824,0.3095144927501678,0.0305550247430801,0.1634352409047079,0.1764705882352941,0.0588235294117647,0.4597772977807942,0.3631474040448665,0.4063107622787356,Aim; Background; Conclusion; Methods; Results,True,,2,0.3882993161678314,1,,6,0.2490420147776603,6,0.2406929954886436,2,0.5032411813735962,0,,0.7482279539108276,0.5685377717018127,0.5690670013427734,0.4087378084659576,0.6183559894561768,0.8103243112564087,0.8103243112564087,Review::41810713::Oral Health and Oral Hygiene Status Among the Particularly Vulnerable Tribal Groups (PVTGs) of India: A Systematic Review and Meta-Analysis.,0.2812569642535143,0.6309868097305298,0.1246533542871475,0.6656973958015442,0.56715989112854,0.56715989112854,5,6,6,0.2170577286263967,0.5470302104949951,0.1005526706576347,0.6709996461868286,0.6348444223403931,0.4558595418930053,3,3,4,3,4,2,0.3882993232116829,2,0.103904927416378,5,0.3832597279498623,5,0.2731140263587988,3,0.2112914027005301,0,,0.5445896983146667,0.4941610991954803,0.5375962257385254,0.5077903270721436,0.3923682272434234,0.1238384991884231,0.6971403956413269,0.6971403956413269
