embedding_model_label,analysis_name,outcome,n_review,n_clinical,review_mean,clinical_mean,review_sd,clinical_sd,mean_difference_review_minus_clinical,cohens_d_review_minus_clinical,welch_t_stat,welch_t_p,mann_whitney_u,mann_whitney_p
MPNet,residualized_for_n_Results,residualized_outcome,49,46,-0.0400979809987629,0.042713066716074,0.1430786473096505,0.1842135917554549,-0.0828110477148369,-0.5041033904092073,-2.436150777150984,0.0169355708497463,847.0,0.0373954184431084
MiniLM,residualized_for_n_Results,residualized_outcome,49,46,-0.0498163402274152,0.0530652319813773,0.1286372852691966,0.1634126171287914,-0.1028815722087925,-0.7022705112666908,-3.3951910891750874,0.0010421901272411,698.0,0.0014177380690405
