embedding_model_label,matching_variable,n_matched_pairs,mean_absolute_n_Results_difference,review_mean,clinical_mean,mean_difference_review_minus_clinical,sd_difference,median_difference,cohens_d_review_minus_clinical,welch_t_stat,welch_t_p,mann_whitney_u,mann_whitney_p
MPNet,n_Results,7,0.1428571428571428,0.2798187453565853,0.5481136865641439,-0.2682949412075587,0.2753319928011309,-0.2263431746512651,-1.7144153734990628,-3.207377473125787,0.0075980834755199,4.0,0.0069930069930069
MiniLM,n_Results,7,0.1428571428571428,0.2516006755803093,0.477350558545187,-0.2257498829648777,0.2337511232044783,-0.2475165779391925,-1.472104059960105,-2.7540545150248184,0.0177757564146508,7.0,0.0262237762237762
