embedding_model_label,outcome,model_name,term,estimate,std_error,t_value,p_value,ci_low,ci_high,r_squared,adj_r_squared,aic,bic,n
MPNet,within_Results_similarity,M0_dataset_only,C(Dataset)[T.Review],-0.0825211098321917,0.0343663758963258,-2.4012165286539293,0.0163406641519091,-0.1498779688681558,-0.0151642507962275,0.0604573152302035,0.0503547057165498,-71.55935549193663,-66.45160170873555,95
MPNet,within_Results_similarity,M1_dataset_plus_n_results,C(Dataset)[T.Review],-0.0854810486854767,0.0345142106227859,-2.4766914016872548,0.0132606502453966,-0.1531276584609668,-0.0178344389099866,0.062869780532999,0.0424973844576294,-69.80360085775573,-62.1419701829541,95
MPNet,within_Results_similarity,M2_dataset_plus_total_sentences,C(Dataset)[T.Review],-0.0852610460716366,0.0358254915723302,-2.379898846593578,0.0173173910095061,-0.155477719281847,-0.0150443728614261,0.0619370920903685,0.0415444201792895,-69.70909815500681,-62.04746748020519,95
MPNet,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,C(Dataset)[T.Review],-0.0859640425881018,0.0357923714315555,-2.40174202350598,0.016317211167834,-0.1561158015152309,-0.0158122836609726,0.0629919120267229,0.0321015355001312,-67.81598253937881,-57.60047497297664,95
MPNet,within_Results_similarity,M4_dataset_plus_n_results_and_n_methods,C(Dataset)[T.Review],-0.0863410234527859,0.0348227618884464,-2.479442145610863,0.0131588075447376,-0.154592382596355,-0.0180896643092168,0.0649909777176854,0.034166504455631,-68.01887738664158,-57.80336982023941,95
MPNet,within_Results_similarity,M5_dataset_interaction_n_results,C(Dataset)[T.Review],-0.20368100404799,0.1106941289185303,-1.8400343906034704,0.0657631884689056,-0.4206375100283431,0.0132755019323631,0.0804657186127226,0.0501514016439111,-69.60431839815351,-59.38881083175134,95
MPNet,within_Results_similarity,M5_dataset_interaction_n_results,C(Dataset)[T.Review]:n_Results,0.02932306031555,0.0227186815967795,1.2907025520225044,0.1968068394022234,-0.0152047373903707,0.0738508580214708,0.0804657186127226,0.0501514016439111,-69.60431839815351,-59.38881083175134,95
MPNet,within_Results_similarity,M6_log_counts,C(Dataset)[T.Review],-0.0860874083391467,0.035782957297482,-2.4058215094816777,0.0161361463922677,-0.1562207159025462,-0.0159541007757471,0.0631706786216529,0.0322861954992897,-67.83410879354057,-57.6186012271384,95
MiniLM,within_Results_similarity,M0_dataset_only,C(Dataset)[T.Review],-0.1031772603092775,0.0306201308660444,-3.3695891360050907,0.0007528033885889,-0.1631916140086279,-0.0431629066099271,0.1124000476577296,0.1028559621486729,-93.42932464766454,-88.32157086446347,95
MiniLM,within_Results_similarity,M1_dataset_plus_n_results,C(Dataset)[T.Review],-0.1061986887679785,0.0306769309016494,-3.4618420306924684,0.0005364919485042,-0.1663243684914353,-0.0460730090445218,0.1153895576055253,0.0961588958143411,-91.74983254590114,-84.08820187109953,95
MiniLM,within_Results_similarity,M2_dataset_plus_total_sentences,C(Dataset)[T.Review],-0.1035474174598237,0.032184952062527,-3.21726182032702,0.0012942043495664,-0.1666287643465249,-0.0404660705731225,0.1124321670545058,0.0931372141643863,-91.43276245531224,-83.77113178051061,95
MiniLM,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,C(Dataset)[T.Review],-0.1048236757987317,0.0319642364119751,-3.2794049714718176,0.001040262383297,-0.1674724279595267,-0.0421749236379366,0.1165667236771056,0.0874425497323947,-89.87633484009308,-79.66082727369091,95
MiniLM,within_Results_similarity,M4_dataset_plus_n_results_and_n_methods,C(Dataset)[T.Review],-0.1076748130707433,0.0309606902704987,-3.477791099940122,0.0005055637634987,-0.1683566509374206,-0.0469929752040661,0.1228220634701553,0.0939041095186219,-90.5513956104981,-80.33588804409594,95
MiniLM,within_Results_similarity,M5_dataset_interaction_n_results,C(Dataset)[T.Review],-0.1926202573069481,0.0921826967384313,-2.0895489513992924,0.0366583362961158,-0.3732950229120513,-0.0119454917018448,0.1265762543154852,0.0977820648973143,-90.9588540068496,-80.74334644044744,95
MiniLM,within_Results_similarity,M5_dataset_interaction_n_results,C(Dataset)[T.Review]:n_Results,0.0214394739749313,0.0191968692260903,1.116821379696279,0.2640707055979978,-0.0161856983241311,0.0590646462739938,0.1265762543154852,0.0977820648973143,-90.9588540068496,-80.74334644044744,95
MiniLM,within_Results_similarity,M6_log_counts,C(Dataset)[T.Review],-0.1051668650258493,0.0319329251148152,-3.293367727751865,0.0009899490843517,-0.1677542481719017,-0.042579481879797,0.1170201416388113,0.0879109155389918,-89.92510565872237,-79.7095980923202,95
