embedding_model_label,outcome,model_name,term,estimate,std_error,t_value,p_value,ci_low,ci_high,r_squared,adj_r_squared,aic,bic,n
MPNet,within_Results_similarity,M0_dataset_only,Intercept,0.4407427108022296,0.0274509541256213,16.05564268496089,5.2195457077031194e-58,0.3869398293747506,0.4945455922297087,0.0604573152302035,0.0503547057165498,-71.55935549193663,-66.45160170873555,95
MPNet,within_Results_similarity,M0_dataset_only,C(Dataset)[T.Review],-0.0825211098321917,0.0343663758963258,-2.4012165286539293,0.0163406641519091,-0.1498779688681558,-0.0151642507962275,0.0604573152302035,0.0503547057165498,-71.55935549193663,-66.45160170873555,95
MPNet,within_Results_similarity,M1_dataset_plus_n_results,Intercept,0.4203265987930376,0.0575946630540285,7.298012984271412,2.920484610580642e-13,0.3074431335054218,0.5332100640806533,0.062869780532999,0.0424973844576294,-69.80360085775573,-62.1419701829541,95
MPNet,within_Results_similarity,M1_dataset_plus_n_results,C(Dataset)[T.Review],-0.0854810486854767,0.0345142106227859,-2.4766914016872548,0.0132606502453966,-0.1531276584609668,-0.0178344389099866,0.062869780532999,0.0424973844576294,-69.80360085775573,-62.1419701829541,95
MPNet,within_Results_similarity,M1_dataset_plus_n_results,n_Results,0.0054285615746984,0.0109632829877648,0.4951583919485451,0.6204883184933265,-0.0160590782336413,0.0269162013830383,0.062869780532999,0.0424973844576294,-69.80360085775573,-62.1419701829541,95
MPNet,within_Results_similarity,M2_dataset_plus_total_sentences,Intercept,0.4102719054694531,0.076316411513896,5.375932873819007,7.618717434216269e-08,0.2606944874728789,0.5598493234660273,0.0619370920903685,0.0415444201792895,-69.70909815500681,-62.04746748020519,95
MPNet,within_Results_similarity,M2_dataset_plus_total_sentences,C(Dataset)[T.Review],-0.0852610460716366,0.0358254915723302,-2.379898846593578,0.0173173910095061,-0.155477719281847,-0.0150443728614261,0.0619370920903685,0.0415444201792895,-69.70909815500681,-62.04746748020519,95
MPNet,within_Results_similarity,M2_dataset_plus_total_sentences,n_sentences,0.0025074365747901,0.005631636920338,0.4452411634945539,0.6561454820752698,-0.0085303689630784,0.0135452421126587,0.0619370920903685,0.0415444201792895,-69.70909815500681,-62.04746748020519,95
MPNet,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,Intercept,0.4128244006536042,0.0754218762280399,5.47353660899948,4.411416976316526e-08,0.2650002396002083,0.5606485617070003,0.0629919120267229,0.0321015355001312,-67.81598253937881,-57.60047497297664,95
MPNet,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,C(Dataset)[T.Review],-0.0859640425881018,0.0357923714315555,-2.40174202350598,0.016317211167834,-0.1561158015152309,-0.0158122836609726,0.0629919120267229,0.0321015355001312,-67.81598253937881,-57.60047497297664,95
MPNet,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,n_Results,0.0045032745453209,0.0136512492079655,0.3298800334472905,0.7414906108023568,-0.0222526822462724,0.0312592313369144,0.0629919120267229,0.0321015355001312,-67.81598253937881,-57.60047497297664,95
MPNet,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,n_sentences,0.0009037133640362,0.0069837451580193,0.1294023970789519,0.897039251035009,-0.0127841756228876,0.0145916023509601,0.0629919120267229,0.0321015355001312,-67.81598253937881,-57.60047497297664,95
MPNet,within_Results_similarity,M4_dataset_plus_n_results_and_n_methods,Intercept,0.4403171547394953,0.0799464746463802,5.507649420279119,3.63656708639777e-08,0.2836249437416455,0.5970093657373451,0.0649909777176854,0.034166504455631,-68.01887738664158,-57.80336982023941,95
MPNet,within_Results_similarity,M4_dataset_plus_n_results_and_n_methods,C(Dataset)[T.Review],-0.0863410234527859,0.0348227618884464,-2.479442145610863,0.0131588075447376,-0.154592382596355,-0.0180896643092168,0.0649909777176854,0.034166504455631,-68.01887738664158,-57.80336982023941,95
