embedding_model_label,perturbation_condition,Metric,n,mean_delta,sd_delta,sem_delta,median_delta,mean_absolute_delta,proportion_delta_negative,proportion_delta_positive
MiniLM,order_swap_methods_results_blocks,mean_label_confidence,100,0.0002541401396161,0.0025174878173897,0.0002517487817389,0.0,0.0005809414454654,0.13,0.15
MiniLM,order_swap_methods_results_blocks,mean_local_similarity,100,-0.0051019482705571,0.0399219421337492,0.0039921942133749,-0.0036248853430151,0.0275099238028061,0.61,0.39
MiniLM,order_swap_methods_results_blocks,min_local_similarity,100,-0.0025342593155801,0.049574828608372,0.0049574828608372,0.0,0.0238989798538386,0.31,0.22
MiniLM,order_swap_methods_results_blocks,local_similarity_volatility,100,0.0013640723189226,0.0236678005890665,0.0023667800589066,0.0003770978066078,0.0158764474628094,0.47,0.53
MiniLM,order_swap_methods_results_blocks,local_discontinuity_burden,100,0.0001968873060204,0.067360731493956,0.0067360731493956,0.0,0.0449800465272601,0.26,0.29
MiniLM,order_swap_methods_results_blocks,within_role_discontinuity_burden,100,-0.0056654735873002,0.0417434889576435,0.0041743488957643,0.0,0.0207222395767287,0.16,0.16
MiniLM,order_swap_methods_results_blocks,mean_similarity_to_opening_anchor,100,0.0029723434991615,0.0228817773145461,0.0022881777314546,0.0,0.006460011772017,0.05,0.09
MiniLM,order_swap_methods_results_blocks,final_similarity_to_opening_anchor,100,0.0240815252624452,0.1021074129671724,0.0102107412967172,0.0,0.0386933531425893,0.06,0.18
MiniLM,order_swap_methods_results_blocks,mean_similarity_to_own_role_anchor_loo,100,0.0056537896943248,0.028597614056224,0.0028597614056224,0.0,0.0092016851631445,0.04,0.09
MiniLM,order_swap_methods_results_blocks,within_Methods_similarity,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,order_swap_methods_results_blocks,within_Results_similarity,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,order_swap_methods_results_blocks,conclusion_to_aim_alignment,89,0.0048923207802718,0.0535878482092574,0.0056803005495915,0.0,0.0135344196571392,0.0561797752808988,0.0561797752808988
MiniLM,order_swap_methods_results_blocks,conclusion_to_results_alignment,98,-0.0036015854198105,0.0348039137798545,0.0035157262065095,0.0,0.0080632947537363,0.0408163265306122,0.0408163265306122
MiniLM,order_swap_methods_results_blocks,results_to_methods_alignment,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
