Dataset,PMID,Title,embedding_model_label,perturbation_condition,replicate_id,n_sentences_original,n_sentences_perturbed,n_sentences_delta_perturbed_minus_original,mean_label_confidence_original,mean_label_confidence_perturbed,mean_label_confidence_delta_perturbed_minus_original,mean_local_similarity_original,mean_local_similarity_perturbed,mean_local_similarity_delta_perturbed_minus_original,min_local_similarity_original,min_local_similarity_perturbed,min_local_similarity_delta_perturbed_minus_original,local_similarity_volatility_original,local_similarity_volatility_perturbed,local_similarity_volatility_delta_perturbed_minus_original,local_discontinuity_burden_original,local_discontinuity_burden_perturbed,local_discontinuity_burden_delta_perturbed_minus_original,within_role_discontinuity_burden_original,within_role_discontinuity_burden_perturbed,within_role_discontinuity_burden_delta_perturbed_minus_original,mean_similarity_to_opening_anchor_original,mean_similarity_to_opening_anchor_perturbed,mean_similarity_to_opening_anchor_delta_perturbed_minus_original,final_similarity_to_opening_anchor_original,final_similarity_to_opening_anchor_perturbed,final_similarity_to_opening_anchor_delta_perturbed_minus_original,mean_similarity_to_own_role_anchor_loo_original,mean_similarity_to_own_role_anchor_loo_perturbed,mean_similarity_to_own_role_anchor_loo_delta_perturbed_minus_original,within_Methods_similarity_original,within_Methods_similarity_perturbed,within_Methods_similarity_delta_perturbed_minus_original,within_Results_similarity_original,within_Results_similarity_perturbed,within_Results_similarity_delta_perturbed_minus_original,conclusion_to_aim_alignment_original,conclusion_to_aim_alignment_perturbed,conclusion_to_aim_alignment_delta_perturbed_minus_original,conclusion_to_results_alignment_original,conclusion_to_results_alignment_perturbed,conclusion_to_results_alignment_delta_perturbed_minus_original,results_to_methods_alignment_original,results_to_methods_alignment_perturbed,results_to_methods_alignment_delta_perturbed_minus_original,methods_to_aim_alignment_original,methods_to_aim_alignment_perturbed,methods_to_aim_alignment_delta_perturbed_minus_original,results_to_aim_alignment_original,results_to_aim_alignment_perturbed,results_to_aim_alignment_delta_perturbed_minus_original,conclusion_to_background_plus_aim_alignment_original,conclusion_to_background_plus_aim_alignment_perturbed,conclusion_to_background_plus_aim_alignment_delta_perturbed_minus_original,conclusion_plus_future_to_background_plus_aim_alignment_original,conclusion_plus_future_to_background_plus_aim_alignment_perturbed,conclusion_plus_future_to_background_plus_aim_alignment_delta_perturbed_minus_original
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,full_sentence_shuffle,0,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.4688213697888634,0.1701855845749378,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.353733296507556,0.023637745235056,0.1666666666666666,0.25,0.0833333333333333,0.0833333333333333,0.0,-0.0833333333333333,0.5432213296492895,0.5432213113332788,-1.8316010708119282e-08,0.4252724926918745,0.0682572796940803,-0.3570152129977941,0.2902425053444775,0.2902425175363367,1.2191859188881438e-08,0.2688083574175834,0.2688083574175834,0.0,-0.0434607006609439,-0.0434607006609439,0.0,0.623849630355835,0.623849630355835,0.0,0.5159451961517334,0.5159451961517334,0.0,0.6500505805015564,0.6500505208969116,-5.960464477539064e-08,0.7243898510932922,0.7243897914886475,-5.960464477539064e-08,0.6257463097572327,0.6257463097572327,0.0,0.6217482686042786,0.6217482686042786,0.0,0.6217482686042786,0.6217482686042786,0.0
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,within_role_shuffle,0,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.3203591758554632,0.0217233906415375,-0.09075628221035,-0.0643027499318122,0.0264535322785377,0.3300955512725,0.3066973421678853,-0.0233982091046147,0.1666666666666666,0.25,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.5432213296492895,0.5432213296492895,0.0,0.4252724926918745,0.4252724926918745,0.0,0.2902425053444775,0.2902425188909877,1.3546510191364549e-08,0.2688083574175834,0.2688083574175834,0.0,-0.0434607006609439,-0.0434607006609439,0.0,0.623849630355835,0.623849630355835,0.0,0.5159451961517334,0.5159451961517334,0.0,0.6500505805015564,0.6500505208969116,-5.960464477539064e-08,0.7243898510932922,0.7243897914886475,-5.960464477539064e-08,0.6257463097572327,0.6257463097572327,0.0,0.6217482686042786,0.6217482686042786,0.0,0.6217482686042786,0.6217482686042786,0.0
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,remove_conclusion,0,12,10,-2,0.97,0.967,-0.0030000000000001,0.2986357852139256,0.3822280638333823,0.0835922786194567,-0.09075628221035,0.0210892166942358,0.1118454989045858,0.3300955512725,0.3077434412781996,-0.0223521099943004,0.1666666666666666,0.2,0.0333333333333333,0.0833333333333333,0.1,0.0166666666666666,0.5432213296492895,0.5668110940605402,0.0235897644112507,0.4252724926918745,0.5957847088575363,0.1705122161656618,0.2902425053444775,0.3690303340554237,0.0787878287109462,0.2688083574175834,0.268808339908719,-1.7508864413873226e-08,-0.0434607006609439,-0.0434607006609439,0.0,0.623849630355835,,,0.5159451961517334,,,0.6500505805015564,0.6500505208969116,-5.960464477539064e-08,0.7243898510932922,0.7243897914886475,-5.960464477539064e-08,0.6257463097572327,0.6257463097572327,0.0,0.6217482686042786,,,0.6217482686042786,,
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,order_swap_methods_results_blocks,0,12,11,-1,0.97,0.9681818181818184,-0.0018181818181818,0.2986357852139256,0.3156865019351244,0.0170507167211987,-0.09075628221035,-0.0434607006609439,0.047295581549406,0.3300955512725,0.3372016341213935,0.0071060828488934,0.1666666666666666,0.1818181818181818,0.0151515151515151,0.0833333333333333,0.0909090909090909,0.0075757575757575,0.5432213296492895,0.596026377583092,0.0528050479338024,0.4252724926918745,0.6006843149662018,0.1754118222743272,0.2902425053444775,0.3690303390224774,0.0787878336779999,0.2688083574175834,0.2688083574175834,0.0,-0.0434607006609439,-0.0434607006609439,0.0,0.623849630355835,0.8865216374397278,0.2626720070838928,0.5159451961517334,0.5740940570831299,0.0581488609313964,0.6500505805015564,0.6500505805015564,0.0,0.7243898510932922,0.7243898510932922,0.0,0.6257463097572327,0.6257463097572327,0.0,0.6217482686042786,0.8881790637969971,0.2664307951927185,0.6217482686042786,0.8881790637969971,0.2664307951927185
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,label_swap_methods_results,0,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0833333333333333,0.0,0.5432213296492895,0.5432213296492895,0.0,0.4252724926918745,0.4252724926918745,0.0,0.2902425053444775,0.1866640523076057,-0.1035784530368718,0.2688083574175834,-0.0434607006609439,-0.3122690580785274,-0.0434607006609439,,,0.623849630355835,0.623849630355835,0.0,0.5159451961517334,,,0.6500505805015564,,,0.7243898510932922,0.6257463097572327,-0.0986435413360595,0.6257463097572327,,,0.6217482686042786,0.6217482686042786,0.0,0.6217482686042786,0.6217482686042786,0.0
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,1,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0,-0.0833333333333333,0.5432213296492895,0.4669421563545863,-0.0762791732947031,0.4252724926918745,0.546765923500061,0.1214934308081865,0.2902425053444775,0.4286693920466033,0.1384268867021257,0.2688083574175834,0.3833572762086987,0.1145489187911152,-0.0434607006609439,0.1185723468661308,0.1620330475270748,0.623849630355835,0.8595808744430542,0.2357312440872192,0.5159451961517334,0.6733862161636353,0.1574410200119018,0.6500505805015564,0.6509935855865479,0.0009430050849914,0.7243898510932922,0.8827844858169556,0.1583946347236633,0.6257463097572327,0.6631783246994019,0.0374320149421691,0.6217482686042786,0.4926342964172363,-0.1291139721870422,0.6217482686042786,0.4926342964172363,-0.1291139721870422
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,2,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0,-0.0833333333333333,0.5432213296492895,0.5598702860685686,0.0166489564192791,0.4252724926918745,0.4153382377699017,-0.0099342549219727,0.2902425053444775,0.2399240635674108,-0.0503184417770667,0.2688083574175834,0.2989221815019846,0.0301138240844011,-0.0434607006609439,0.0678000673651695,0.1112607680261135,0.623849630355835,0.5796470642089844,-0.0442025661468505,0.5159451961517334,0.5469585657119751,0.0310133695602417,0.6500505805015564,0.7068886756896973,0.0568380951881408,0.7243898510932922,0.8117392063140869,0.0873493552207946,0.6257463097572327,0.7341485023498535,0.1084021925926208,0.6217482686042786,0.552145779132843,-0.0696024894714355,0.6217482686042786,0.552145779132843,-0.0696024894714355
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,3,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0,-0.0833333333333333,0.5432213296492895,0.582639891654253,0.0394185620049635,0.4252724926918745,0.6054528057575226,0.180180313065648,0.2902425053444775,0.2962069037285718,0.0059643983840942,0.2688083574175834,0.2136703338474035,-0.0551380235701799,-0.0434607006609439,0.6677556037902832,0.7112163044512272,0.623849630355835,0.5689674019813538,-0.0548822283744812,0.5159451961517334,0.4825921058654785,-0.0333530902862548,0.6500505805015564,0.6458140015602112,-0.0042365789413452,0.7243898510932922,0.7645217180252075,0.0401318669319152,0.6257463097572327,0.8430280685424805,0.2172817587852478,0.6217482686042786,0.7404006719589233,0.1186524033546447,0.6217482686042786,0.7404006719589233,0.1186524033546447
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,4,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0,-0.0833333333333333,0.5432213296492895,0.4456059212485949,-0.0976154084006945,0.4252724926918745,0.387107104063034,-0.0381653886288404,0.2902425053444775,0.5577210905877027,0.2674785852432251,0.2688083574175834,0.6593094289302825,0.3905010715126991,-0.0434607006609439,0.9045004844665528,0.9479611851274968,0.623849630355835,0.3054383099079132,-0.3184113204479217,0.5159451961517334,-0.0662562400102615,-0.5822014361619949,0.6500505805015564,0.9074959754943848,0.2574453949928283,0.7243898510932922,0.1661379486322403,-0.5582519024610519,0.6257463097572327,0.1410014778375625,-0.4847448319196701,0.6217482686042786,0.4296429753303528,-0.1921052932739257,0.6217482686042786,0.4296429753303528,-0.1921052932739257
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,MiniLM,random_role_labels_preserve_counts,5,12,12,0,0.97,0.97,0.0,0.2986357852139256,0.2986357852139256,0.0,-0.09075628221035,-0.09075628221035,0.0,0.3300955512725,0.3300955512725,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0,-0.0833333333333333,0.5432213296492895,0.560139192889134,0.0169178632398445,0.4252724926918745,0.487476035952568,0.0622035432606935,0.2902425053444775,0.5237275578758933,0.2334850525314157,0.2688083574175834,0.6675186008214951,0.3987102434039116,-0.0434607006609439,0.1991116851568222,0.2425723858177662,0.623849630355835,0.2591066360473633,-0.3647429943084717,0.5159451961517334,0.3886366486549377,-0.1273085474967956,0.6500505805015564,0.0637709647417068,-0.5862796157598495,0.7243898510932922,0.0127686485648155,-0.7116212025284767,0.6257463097572327,0.5133482217788696,-0.112398087978363,0.6217482686042786,0.6347981691360474,0.0130499005317687,0.6217482686042786,0.6347981691360474,0.0130499005317687
