PMID,Title,Dataset,embedding_model_label,embedding_model_name,perturbation_condition,replicate_id,n_sentences,mean_label_confidence,mean_local_similarity,min_local_similarity,local_similarity_volatility,local_discontinuity_burden,within_role_discontinuity_burden,mean_similarity_to_opening_anchor,final_similarity_to_opening_anchor,mean_similarity_to_own_role_anchor_loo,observed_roles,n_Background,within_Background_similarity,n_Aim,within_Aim_similarity,n_Methods,within_Methods_similarity,n_Results,within_Results_similarity,n_Conclusion,within_Conclusion_similarity,n_Limitation/Future,within_Limitation/Future_similarity,conclusion_to_aim_alignment,conclusion_to_results_alignment,results_to_methods_alignment,methods_to_aim_alignment,results_to_aim_alignment,conclusion_to_background_plus_aim_alignment,conclusion_plus_future_to_background_plus_aim_alignment
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,original,0,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0833333333333333,0.5432213296492895,0.4252724926918745,0.2902425053444775,Aim; Background; Conclusion; Methods; Results,2,0.6677556037902832,1,,5,0.2688083574175834,2,-0.0434607006609439,2,-0.0643027499318122,0,,0.623849630355835,0.5159451961517334,0.6500505805015564,0.7243898510932922,0.6257463097572327,0.6217482686042786,0.6217482686042786
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,full_sentence_shuffle,0,12,0.97,0.4688213697888634,-0.09075628221035,0.353733296507556,0.25,0.0,0.5432213113332788,0.0682572796940803,0.2902425175363367,Aim; Background; Conclusion; Methods; Results,2,0.6677556037902832,1,,5,0.2688083574175834,2,-0.0434607006609439,2,-0.0643027499318122,0,,0.623849630355835,0.5159451961517334,0.6500505208969116,0.7243897914886475,0.6257463097572327,0.6217482686042786,0.6217482686042786
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,within_role_shuffle,0,12,0.97,0.3203591758554632,-0.0643027499318122,0.3066973421678853,0.25,0.0833333333333333,0.5432213296492895,0.4252724926918745,0.2902425188909877,Aim; Background; Conclusion; Methods; Results,2,0.6677556037902832,1,,5,0.2688083574175834,2,-0.0434607006609439,2,-0.0643027499318122,0,,0.623849630355835,0.5159451961517334,0.6500505208969116,0.7243897914886475,0.6257463097572327,0.6217482686042786,0.6217482686042786
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,remove_conclusion,0,10,0.967,0.3822280638333823,0.0210892166942358,0.3077434412781996,0.2,0.1,0.5668110940605402,0.5957847088575363,0.3690303340554237,Aim; Background; Methods; Results,2,0.6677556037902832,1,,5,0.268808339908719,2,-0.0434607006609439,0,,0,,,,0.6500505208969116,0.7243897914886475,0.6257463097572327,,
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,order_swap_methods_results_blocks,0,11,0.9681818181818184,0.3156865019351244,-0.0434607006609439,0.3372016341213935,0.1818181818181818,0.0909090909090909,0.596026377583092,0.6006843149662018,0.3690303390224774,Aim; Background; Conclusion; Methods; Results,2,0.6677556037902832,1,,5,0.2688083574175834,2,-0.0434607006609439,1,,0,,0.8865216374397278,0.5740940570831299,0.6500505805015564,0.7243898510932922,0.6257463097572327,0.8881790637969971,0.8881790637969971
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,label_swap_methods_results,0,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0833333333333333,0.5432213296492895,0.4252724926918745,0.1866640523076057,Aim; Background; Conclusion; Methods; __TEMP_METHODS__,2,0.6677556037902832,1,,2,-0.0434607006609439,0,,2,-0.0643027499318122,0,,0.623849630355835,,,0.6257463097572327,,0.6217482686042786,0.6217482686042786
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,1,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.4669421563545863,0.546765923500061,0.4286693920466033,Aim; Background; Conclusion; Methods; Results,2,0.2729345262050628,1,,5,0.3833572762086987,2,0.1185723468661308,2,0.5846084356307983,0,,0.8595808744430542,0.6733862161636353,0.6509935855865479,0.8827844858169556,0.6631783246994019,0.4926342964172363,0.4926342964172363
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,2,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.5598702860685686,0.4153382377699017,0.2399240635674108,Aim; Background; Conclusion; Methods; Results,2,0.0909898430109024,1,,5,0.2989221815019846,2,0.0678000673651695,2,-0.003450040705502,0,,0.5796470642089844,0.5469585657119751,0.7068886756896973,0.8117392063140869,0.7341485023498535,0.552145779132843,0.552145779132843
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,3,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.582639891654253,0.6054528057575226,0.2962069037285718,Aim; Background; Conclusion; Methods; Results,2,-0.0281894877552986,1,,5,0.2136703338474035,2,0.6677556037902832,2,0.126857042312622,0,,0.5689674019813538,0.4825921058654785,0.6458140015602112,0.7645217180252075,0.8430280685424805,0.7404006719589233,0.7404006719589233
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,4,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.4456059212485949,0.387107104063034,0.5577210905877027,Aim; Background; Conclusion; Methods; Results,2,-0.0387346968054771,1,,5,0.6593094289302825,2,0.9045004844665528,2,0.2729345262050628,0,,0.3054383099079132,-0.0662562400102615,0.9074959754943848,0.1661379486322403,0.1410014778375625,0.4296429753303528,0.4296429753303528
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,5,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.560139192889134,0.487476035952568,0.5237275578758933,Aim; Background; Conclusion; Methods; Results,2,0.6430420875549316,1,,5,0.6675186008214951,2,0.1991116851568222,2,0.0878962129354476,0,,0.2591066360473633,0.3886366486549377,0.0637709647417068,0.0127686485648155,0.5133482217788696,0.6347981691360474,0.6347981691360474
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,6,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.4141525042553742,0.5819796919822693,0.5428408980369568,Aim; Background; Conclusion; Methods; Results,2,0.6076387166976929,1,,5,0.2968145906925201,2,0.4011958837509155,2,0.8556429743766785,0,,0.8259475827217102,0.7835516333580017,0.6308422088623047,0.698972761631012,0.7196344137191772,0.3740558326244354,0.3740558326244354
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,7,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.5570824618140856,0.4517396539449692,0.4344291172244332,Aim; Background; Conclusion; Methods; Results,2,0.8596899509429932,1,,5,0.3318355200812221,2,-0.0659264400601387,2,0.3623571991920471,0,,-0.013552937656641,0.3235703110694885,0.6110296249389648,0.1511732190847396,0.2003611326217651,0.6967073678970337,0.6967073678970337
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,8,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0833333333333333,0.5550086513782541,0.4198121819645166,0.3651552538980137,Aim; Background; Conclusion; Methods; Results,2,0.4656482636928558,1,,5,0.1631998664699495,2,0.9045004844665528,2,-0.0387346968054771,0,,0.5131179690361023,0.5093430280685425,0.6129780411720276,0.688446044921875,0.8349073529243469,0.431324154138565,0.431324154138565
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,9,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0833333333333333,0.540207004485031,0.3984094820916652,0.357310586693612,Aim; Background; Conclusion; Methods; Results,2,0.6916605830192566,1,,5,0.2926507640630006,2,0.0233173463493585,2,0.1141697615385055,0,,0.3306735754013061,0.3207992911338806,0.7115083932876587,0.7137998938560486,0.542939305305481,0.3090910911560058,0.3090910911560058
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,10,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0833333333333333,0.5549058231214682,0.4940312355756759,0.308612946420908,Aim; Background; Conclusion; Methods; Results,2,-0.0387346968054771,1,,5,0.4946930683217942,2,-0.0451875962316989,2,0.1141697615385055,0,,0.481947124004364,0.3773077726364136,0.6812546253204346,0.8533174991607666,0.6502196788787842,0.3716157078742981,0.3716157078742981
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,11,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.5532575361430645,0.5883388072252274,0.3983288237994367,Aim; Background; Conclusion; Methods; Results,2,0.5846084356307983,1,,5,0.2664204223081469,2,0.4656482636928558,2,0.0678000673651695,0,,0.0922483801841735,0.6078254580497742,0.7097951769828796,0.2343856692314148,0.0062731225043535,0.6616932153701782,0.6616932153701782
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,12,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.5532575361430645,0.5883388072252274,0.4470321630889719,Aim; Background; Conclusion; Methods; Results,2,-0.0659264400601387,1,,5,0.4283170662820339,2,0.255340039730072,2,0.7946767807006836,0,,0.8441784381866455,0.0345788858830928,0.0686063170433044,0.8578100204467773,0.1355326771736145,0.7443790435791016,0.7443790435791016
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,13,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.4124603246649106,0.2785992547869682,0.4003317054699767,Aim; Background; Conclusion; Methods; Results,2,0.0009194239974021,1,,5,0.3718166816048324,2,0.015564601868391,2,0.839240550994873,0,,0.1037886291742324,0.6428995132446289,0.7620785236358643,0.2381417751312255,0.2324416041374206,0.390207827091217,0.390207827091217
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,14,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.5088086798787117,0.462017685174942,0.5162014609033411,Aim; Background; Conclusion; Methods; Results,2,0.4572075605392456,1,,5,0.1567843344062566,2,0.8556429743766785,2,0.8750599026679993,0,,0.0048282407224178,0.8819082975387573,0.6150066256523132,0.3601117432117462,0.0073857884854078,0.576149582862854,0.576149582862854
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,15,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.5675137698029479,0.4024410005658865,0.5409604094245217,Aim; Background; Conclusion; Methods; Results,2,0.8556429743766785,1,,5,0.5879952654242515,2,0.255340039730072,2,0.0643651783466339,0,,0.3161969184875488,0.4737917780876159,-0.0159162729978561,0.1352148056030273,0.3001437187194824,0.5910123586654663,0.5910123586654663
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,16,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.5760994059965014,0.4483226519078016,0.3158514716408469,Aim; Background; Conclusion; Methods; Results,2,0.0678000673651695,1,,5,0.202806301228702,2,-0.0659264400601387,2,0.9045004844665528,0,,0.9011639952659608,0.4718424081802368,0.5557650923728943,0.7519829273223877,0.4498477578163147,0.8491735458374023,0.8491735458374023
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,17,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.5714888178432981,0.4509659577161073,0.380642602389509,Aim; Background; Conclusion; Methods; Results,2,0.8865216970443726,1,,5,0.293310936819762,2,0.0878962129354476,2,-0.0197539217770099,0,,0.2275446355342865,0.546934962272644,0.6266440153121948,0.2083095014095306,0.3731815218925476,0.6466350555419922,0.6466350555419922
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,MiniLM,sentence-transformers/all-MiniLM-L6-v2,random_role_labels_preserve_counts,18,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0,0.5749636354545752,0.6367338299751282,0.5089992935007269,Aim; Background; Conclusion; Methods; Results,2,0.8865216970443726,1,,5,0.1957607716321945,2,0.6677556037902832,2,0.4572075605392456,0,,0.0605066642165184,0.5642313957214355,0.5614084005355835,0.3217655420303345,-0.0379866510629653,0.7079289555549622,0.7079289555549622
