abstract_key,PMID,Title,Dataset,total_sentence_count,results_sentence_count,mean_sentence_length_words,median_sentence_length_words,total_word_count,type_token_ratio,numeral_density,statistical_token_density,results_word_count,results_type_token_ratio,results_numeral_density,results_statistical_token_density,tfidf_within_results_similarity,tfidf_conclusion_results_alignment,within_Results_similarity,conclusion_to_results_alignment
Clinical::26932733::Influence of a triclosan toothpaste on periodontopathic bacteria and periodontitis progression in cardiovascular patients: a randomized controlled trial.,26932733,Influence of a triclosan toothpaste on periodontopathic bacteria and periodontitis progression in cardiovascular patients: a randomized controlled trial.,Clinical,16,6,23.875,22.5,382,0.4790575916230366,0.0366492146596858,0.0209424083769633,170,0.5117647058823529,0.0588235294117647,0.0352941176470588,0.1054963822964732,0.0719032141671604,0.3240299115578333,0.4532791972160339
Clinical::27013640::Amoxicillin Plus Metronidazole Therapy for Patients with Periodontitis and Type 2 Diabetes: A 2-year Randomized Controlled Trial.,27013640,Amoxicillin Plus Metronidazole Therapy for Patients with Periodontitis and Type 2 Diabetes: A 2-year Randomized Controlled Trial.,Clinical,8,5,36.125,44.5,289,0.532871972318339,0.1141868512110726,0.0346020761245674,139,0.5899280575539568,0.1438848920863309,0.0575539568345323,0.1543893725462155,0.1047352571151239,0.2710180014371872,0.3395507335662842
"Clinical::27108476::Systemic Inflammatory Biomarkers and Their Association With Periodontal and Diabetes-Related Factors in the Diabetes and Periodontal Therapy Trial, A Randomized Controlled Trial.",27108476,"Systemic Inflammatory Biomarkers and Their Association With Periodontal and Diabetes-Related Factors in the Diabetes and Periodontal Therapy Trial, A Randomized Controlled Trial.",Clinical,12,5,24.916666666666668,24.0,299,0.5117056856187291,0.1070234113712374,0.0234113712374581,115,0.6608695652173913,0.1130434782608695,0.0521739130434782,0.080784464277316,0.3323303528154853,0.358253413438797,0.5804318189620972
Clinical::27127325::Azithromycin buccal patch in treatment of chronic periodontitis.,27127325,Azithromycin buccal patch in treatment of chronic periodontitis.,Clinical,11,2,22.727272727272727,22.0,250,0.552,0.052,0.004,56,0.8035714285714286,0.0357142857142857,0.0178571428571428,0.0432619754040798,0.1391624010951264,0.3301398754119873,0.6732912659645081
"Clinical::27145828::The efficacy of Er,Cr:YSGG laser supported periodontal therapy on the reduction of peridodontal disease related oral malodor: a randomized clinical study.",27145828,"The efficacy of Er,Cr:YSGG laser supported periodontal therapy on the reduction of peridodontal disease related oral malodor: a randomized clinical study.",Clinical,13,3,17.384615384615383,20.0,226,0.4867256637168141,0.0752212389380531,0.0132743362831858,67,0.6417910447761194,0.1492537313432835,0.044776119402985,0.2393864676245052,0.0,0.4697772761185964,0.3887750804424286
Clinical::27384040::Efficacy of antimicrobial photodynamic therapy as an adjuvant in periodontal treatment in Down syndrome patients.,27384040,Efficacy of antimicrobial photodynamic therapy as an adjuvant in periodontal treatment in Down syndrome patients.,Clinical,13,3,19.07692307692308,19.0,248,0.6209677419354839,0.0362903225806451,0.0120967741935483,50,0.7,0.1,0.02,0.0665576372266138,0.0533347894276755,0.3616301715373993,0.5283220410346985
"Clinical::27477110::Treatment of periodontal intrabony defects using autologous platelet-rich fibrin and titanium platelet-rich fibrin: a randomized, clinical, comparative study.",27477110,"Treatment of periodontal intrabony defects using autologous platelet-rich fibrin and titanium platelet-rich fibrin: a randomized, clinical, comparative study.",Clinical,9,2,21.0,23.0,189,0.544973544973545,0.0158730158730158,0.0105820105820105,44,0.7954545454545454,0.0227272727272727,0.0,0.0,0.0661469341644424,0.2334415018558502,0.4946634173393249
Clinical::28025432::Visfatin levels in gingival crevicular fluid and serum before and after non-surgical treatment for periodontal diseases.,28025432,Visfatin levels in gingival crevicular fluid and serum before and after non-surgical treatment for periodontal diseases.,Clinical,11,3,17.545454545454547,19.0,193,0.5025906735751295,0.077720207253886,0.0155440414507772,55,0.5818181818181818,0.0363636363636363,0.0545454545454545,0.4083381923038905,0.2487726629767091,0.8064718047777811,0.861178994178772
"Clinical::28321995::Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",28321995,"Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",Clinical,10,1,19.4,19.5,194,0.4742268041237113,0.0103092783505154,0.0103092783505154,35,0.8285714285714286,0.0,0.0,,0.0320106215709237,,0.4027951955795288
Clinical::28474968::Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,28474968,Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,Clinical,16,6,20.1875,22.0,323,0.4767801857585139,0.0990712074303405,0.0123839009287925,123,0.5121951219512195,0.1707317073170731,0.032520325203252,0.2071261570321999,0.0247634888836415,0.4307608405749003,0.3878706097602844
"Clinical::28667678::Effects of photodynamic therapy in periodontal treatment: A randomized, controlled clinical trial.",28667678,"Effects of photodynamic therapy in periodontal treatment: A randomized, controlled clinical trial.",Clinical,9,3,23.22222222222222,16.0,209,0.6507177033492823,0.0574162679425837,0.0047846889952153,47,0.7872340425531915,0.0212765957446808,0.0,0.1362616003779594,0.211876041904176,0.3375647912422816,0.5148864984512329
Clinical::28678950::Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,28678950,Effect of 1% sodium alendronate in the non-surgical treatment of periodontal intraosseous defects: a 6-month clinical trial.,Clinical,11,2,20.545454545454547,24.0,226,0.5619469026548672,0.0663716814159292,0.0309734513274336,55,0.7818181818181819,0.109090909090909,0.0363636363636363,0.3496260019112068,0.0752612989150486,0.6696263551712036,0.4767910242080688
Clinical::29723659::Impact of green tea intake on clinical improvement in chronic periodontitis: A randomized clinical trial.,29723659,Impact of green tea intake on clinical improvement in chronic periodontitis: A randomized clinical trial.,Clinical,11,2,17.545454545454547,16.0,193,0.5751295336787565,0.0310880829015544,0.0155440414507772,64,0.734375,0.046875,0.03125,0.1004383976137513,0.0118027233290209,0.4989075660705566,0.2958126068115234
Clinical::30182639::Propolis as an adjuvant to non-surgical periodontal treatment: a clinical study with salivary anti-oxidant capacity assessment.,30182639,Propolis as an adjuvant to non-surgical periodontal treatment: a clinical study with salivary anti-oxidant capacity assessment.,Clinical,11,2,15.909090909090908,15.0,175,0.6114285714285714,0.0114285714285714,0.0171428571428571,31,0.8709677419354839,0.064516129032258,0.064516129032258,0.0919052409663791,0.0741777379762507,0.4189517498016357,0.4634062647819519
Clinical::30338757::Nos3 Gene Rs1799983 and Rs2070744 Polymorphisms in Patients with Periodontal Disease.,30338757,Nos3 Gene Rs1799983 and Rs2070744 Polymorphisms in Patients with Periodontal Disease.,Clinical,11,2,18.90909090909091,18.0,208,0.5384615384615384,0.0817307692307692,0.0192307692307692,68,0.6323529411764706,0.0735294117647058,0.0588235294117647,0.4657643782572671,0.0966767344162979,0.818384051322937,0.5717361569404602
"Clinical::30834725::Clinical effect of Lactobacillus on the treatment of severe periodontitis and halitosis: A double-blinded, placebo-controlled, randomized clinical trial.",30834725,"Clinical effect of Lactobacillus on the treatment of severe periodontitis and halitosis: A double-blinded, placebo-controlled, randomized clinical trial.",Clinical,11,3,15.636363636363637,19.0,172,0.5116279069767442,0.0348837209302325,0.0232558139534883,55,0.6909090909090909,0.0727272727272727,0.0545454545454545,0.1576707048322229,0.1550942651839446,0.3218411306540171,0.4633948802947998
Clinical::31543299::Clinical outcomes of adjunctive indocyanine green-diode lasers therapy for treating refractory periodontitis: A randomized controlled trial with in vitro assessment.,31543299,Clinical outcomes of adjunctive indocyanine green-diode lasers therapy for treating refractory periodontitis: A randomized controlled trial with in vitro assessment.,Clinical,15,5,17.733333333333334,20.0,266,0.5526315789473685,0.0789473684210526,0.0075187969924812,113,0.6194690265486725,0.1238938053097345,0.0,0.0555802209701509,0.0618453723170754,0.2088198095560073,0.5577353239059448
Clinical::31589587::Antimicrobial Photodynamic Therapy Using a Chloro-Aluminum Phthalocyanine Adjuvant to Nonsurgical Periodontal Treatment Does Not Improve Clinical Parameters in Patients with Chronic Periodontitis.,31589587,Antimicrobial Photodynamic Therapy Using a Chloro-Aluminum Phthalocyanine Adjuvant to Nonsurgical Periodontal Treatment Does Not Improve Clinical Parameters in Patients with Chronic Periodontitis.,Clinical,6,2,33.666666666666664,30.0,202,0.5742574257425742,0.0742574257425742,0.0198019801980198,55,0.7090909090909091,0.1272727272727272,0.0727272727272727,0.1053490312333157,0.2234779484922383,0.5434547066688538,0.5258789658546448
Clinical::32660549::A decision support system based on support vector machine for diagnosis of periodontal disease.,32660549,A decision support system based on support vector machine for diagnosis of periodontal disease.,Clinical,9,1,21.33333333333333,19.0,192,0.6302083333333334,0.0364583333333333,0.0052083333333333,43,0.7906976744186046,0.0465116279069767,0.0232558139534883,,0.3981863541395851,,0.3534402847290039
