embedding_model_label,Metric,Review_mean,Clinical_mean,Review_SD,Clinical_SD,Mean_difference_Review_minus_Clinical,Cohen_d_Review_minus_Clinical,Welch_t_stat,Welch_t_p,Mann_Whitney_U,Mann_Whitney_p,n_review,n_clinical
MPNet,n_sentences,13.22,11.88,2.6518380225721154,2.6698620311368386,1.34,0.503595580720391,2.517977903601955,0.0134233200359998,1616.0,0.0109182760361163,50,50
MPNet,mean_label_confidence,0.9777034546018138,0.9815471656310664,0.0098280124586932,0.006828710416279,-0.0038437110292526,-0.4542157639934588,-2.271078819967294,0.0256000111610349,905.5,0.0176961469269126,50,50
MPNet,mean_local_similarity,0.3724361175252856,0.3798649677288292,0.0872484687884052,0.1160677021128669,-0.0074288502035436,-0.0723535801576732,-0.3617679007883659,0.7183643976345192,1200.0,0.7329198386952271,50,50
MPNet,min_local_similarity,0.0688718402478843,0.0656563008390366,0.0843050527203439,0.1323844765684112,0.0032155394088476,0.0289741200650448,0.1448706003252241,0.8851637052192819,1380.0,0.3719912424570482,50,50
MPNet,local_similarity_volatility,0.2259104696520645,0.2222129796735107,0.0591620047203701,0.058490761396645,0.0036974899785537,0.0628532575094302,0.3142662875471511,0.753986930979395,1237.0,0.9313290936985889,50,50
MPNet,local_discontinuity_burden,0.1611094705088513,0.1798416419321991,0.0810821467759615,0.0777135465197627,-0.0187321714233478,-0.2358748859081784,-1.1793744295408926,0.2411094702559388,1073.0,0.2228248478959049,50,50
MPNet,within_role_discontinuity_burden,0.0825202256463866,0.0943026295170257,0.0616419079940969,0.0673869006463249,-0.0117824038706391,-0.1824513800918319,-0.91225690045916,0.3638898291391104,1068.5,0.2079701988435061,50,50
MPNet,mean_similarity_to_opening_anchor,0.4986733168037414,0.5140859549079351,0.0902675460030121,0.0972846367924303,-0.0154126381041936,-0.1642408185606957,-0.8212040928034785,0.413534383578631,1171.0,0.5883939556686413,50,50
MPNet,final_similarity_to_opening_anchor,0.5549367957934738,0.4927836715709418,0.1795842529318661,0.1625088681179649,0.0621531242225319,0.3629178083632132,1.8145890418160664,0.0726767659918482,1508.0,0.0758717004328946,50,50
MPNet,mean_similarity_to_own_role_anchor_loo,0.4397858064877845,0.4431462366117776,0.0941309857673923,0.1244828896106692,-0.003360430123993,-0.0304509781205832,-0.1522548906029164,0.8793221211191788,1235.0,0.9203757735227216,50,50
MPNet,within_Methods_similarity,0.3271098237855774,0.3352545481453542,0.1413248616929382,0.135853047491706,-0.0081447243597768,-0.0587328258429022,-0.2879076031968713,0.7740512936020598,1146.0,0.9707671837697288,49,47
MPNet,within_Results_similarity,0.3582216009700379,0.4407427108022297,0.1432468487344445,0.184146598416353,-0.0825211098321918,-0.5022182517861409,-2.4271525449272824,0.017331006022112,847.0,0.0373954184431084,49,46
